Unnamed: 0,PIT,CHI
First Downs,21,17
Rush-Yds-TDs,22-105-1,17-44-0
Cmp-Att-Yd-TD-INT,23-35-221-1-1,27-38-236-2-0
Sacked-Yards,2-18,2-5
Net Pass Yards,203,231
Total Yards,308,275
Fumbles-Lost,2-1,1-0
Turnovers,2,0
Penalties-Yards,6-52,10-80
Third Down Conv.,6-12,7-14
Fourth Down Conv.,1-1,0-0
Time of Possession,30:26,29:34
