Quarter,Time,Down,ToGo,Location,PIT,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,PIT 30,0,0,"Jeff Reed kicks off 67 yards, returned by Johnny Knox for 26 yards (tackle by Stefan Logan)",0.000,0.870
1,14:56,1,10,CHI 29,0,0,Matt Forte right tackle for 2 yards (tackle by Brett Keisel),0.870,0.600
1,14:20,2,8,CHI 31,0,0,Jay Cutler pass complete short left to Devin Hester for 2 yards (tackle by William Gay),0.600,0.170
1,13:46,3,6,CHI 33,0,0,Jay Cutler pass complete short right to Matt Forte for no gain,0.170,-1.180
1,13:09,4,6,CHI 33,0,0,"Brad Maynard punts 52 yards. Penalty on Ike Taylor: Personal Foul, 7 yards",-1.180,0.380
1,13:01,1,10,PIT 8,0,0,Willie Parker right tackle for 5 yards (tackle by Nick Roach),-0.380,-0.410
1,12:22,2,5,PIT 13,0,0,Ben Roethlisberger pass complete short left to Hines Ward for 6 yards (tackle by Zackary Bowman),-0.410,0.150
1,11:39,1,10,PIT 19,0,0,Ben Roethlisberger pass incomplete deep right intended for Santonio Holmes,0.150,-0.390
1,11:32,2,10,PIT 19,0,0,Willie Parker right end for -2 yards (tackle by Nick Roach),-0.390,-1.420
1,10:48,3,12,PIT 17,0,0,Ben Roethlisberger pass complete deep right to Santonio Holmes for 24 yards (tackle by Danieal Manning),-1.420,1.660
1,10:02,1,10,PIT 41,0,0,Ben Roethlisberger pass complete short middle to Heath Miller for 15 yards (tackle by Hunter Hillenmeyer and Zackary Bowman),1.660,2.650
1,9:19,1,10,CHI 44,0,0,Ben Roethlisberger pass complete short right to Santonio Holmes for 19 yards (tackle by Hunter Hillenmeyer),2.650,3.910
1,8:36,1,10,CHI 25,0,0,Willie Parker right end for 3 yards (tackle by Al Afalava),3.910,3.770
1,7:53,2,7,CHI 22,0,0,Ben Roethlisberger pass complete short right to Hines Ward for 13 yards (tackle by Charles Tillman),3.770,5.140
1,7:11,1,9,CHI 9,0,0,Willie Parker right tackle for 2 yards (tackle by Lance Briggs and Adewale Ogunleye),5.140,4.760
1,6:36,,,,0,0,Timeout #1 by Pittsburgh Steelers,0.000,4.760
1,6:36,2,7,CHI 7,0,0,Ben Roethlisberger pass complete short right to Heath Miller for 3 yards (tackle by Al Afalava),4.760,4.490
1,5:52,3,4,CHI 4,0,0,Ben Roethlisberger pass complete short left to Mewelde Moore for 3 yards (tackle by Al Afalava and Zackary Bowman),4.490,3.550
1,5:02,4,1,CHI 1,6,0,"Ben Roethlisberger pass complete short right to Matt Spaeth for 1 yard, touchdown",3.550,7.000
1,,,,CHI 2,7,0,Jeff Reed kicks extra point good,0.000,0.000
1,,,,PIT 30,7,0,"Jeff Reed kicks off 52 yards, returned by Rashied Davis for 12 yards (tackle by Joe Burnett)",0.000,0.940
1,4:53,1,10,CHI 30,7,0,Jay Cutler pass complete short left to Greg Olsen for 6 yards (tackle by Keyaron Fox and William Gay),0.940,1.200
1,4:19,2,4,CHI 36,7,0,Matt Forte left guard for 1 yard (tackle by Keyaron Fox),1.200,0.630
1,3:39,3,3,CHI 37,7,0,Jay Cutler pass incomplete short right intended for Greg Olsen (defended by Lawrence Timmons),0.630,-0.910
1,3:34,4,3,CHI 37,7,0,"Brad Maynard punts 42 yards, returned by Stefan Logan for -1 yards (tackle by Adrian Peterson). Penalty on Patrick Bailey: Illegal Block Above the , 10 yards",-0.910,0.380
1,3:23,1,10,PIT 10,7,0,Willie Parker left guard for -1 yards (tackle by Lance Briggs),-0.380,-0.850
1,2:43,2,11,PIT 9,7,0,Willie Parker right guard for 12 yards (tackle by Danieal Manning),-0.850,0.340
1,2:04,1,10,PIT 21,7,0,Ben Roethlisberger pass complete short left to Heath Miller for 9 yards (tackle by Lance Briggs),0.340,1.020
1,1:18,2,1,PIT 30,7,0,"Willie Parker right tackle for 12 yards (tackle by Charles Tillman). Willie Parker fumbles (forced by Charles Tillman), recovered by Willie Parker at PIT-42",1.020,1.730
1,0:34,1,10,PIT 42,7,0,Willie Parker left tackle for -5 yards (tackle by Alex Brown),1.730,0.510
Quarter,Time,Down,ToGo,Location,PIT,CHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,15,PIT 37,7,0,Ben Roethlisberger pass complete short right to Mewelde Moore for 4 yards (tackle by Lance Briggs),0.510,0.370
2,14:21,3,11,PIT 41,7,0,Ben Roethlisberger pass complete short middle to Hines Ward for 21 yards (tackle by Kevin Payne),0.370,3.050
2,13:37,1,10,CHI 38,7,0,"Ben Roethlisberger pass incomplete deep right intended for Mike Wallace is intercepted by Charles Tillman at CHI-5 and returned for 14 yards. Penalty on Chris Kemoeatu: Offensive Holding (Declined), Penalty on Zackary Bowman: Illegal Block Above the , 10 yards",3.050,0.380
2,13:24,1,10,CHI 9,7,0,Jay Cutler pass complete short left to Kellen Davis for 11 yards (tackle by Keyaron Fox and William Gay),-0.380,0.280
2,12:48,1,10,CHI 20,7,0,Jay Cutler pass incomplete short right intended for Kellen Davis,0.280,-0.270
2,12:44,2,10,CHI 20,7,0,Jay Cutler pass complete short left to Earl Bennett for 7 yards (tackle by William Gay),-0.270,-0.030
2,12:17,3,3,CHI 27,7,0,Jay Cutler pass complete short middle to Johnny Knox for 13 yards (tackle by William Gay and LaMarr Woodley),-0.030,1.600
2,11:36,1,10,CHI 40,7,0,"Jay Cutler pass complete short middle to Matt Forte for 5 yards (tackle by James Farrior). Penalty on Jason McKie: Offensive Holding, 10 yards (no play)",1.600,0.940
2,11:11,1,20,CHI 30,7,0,Jay Cutler pass complete short middle to Matt Forte for 5 yards (tackle by James Farrior and Casey Hampton),0.940,0.380
2,10:34,2,15,CHI 35,7,0,Jay Cutler pass complete short middle to Kellen Davis for 6 yards (tackle by James Farrior),0.380,0.500
2,9:55,3,9,CHI 41,7,0,Jay Cutler pass incomplete deep left intended for Johnny Knox,0.500,-0.650
2,9:50,4,9,CHI 41,7,0,"Brad Maynard punts 45 yards, returned by Stefan Logan for 8 yards (tackle by Tim Shaw)",-0.650,-0.410
2,9:39,1,10,PIT 22,7,0,Ben Roethlisberger pass complete short left to Mike Wallace for 3 yards (tackle by Zackary Bowman),0.410,0.270
2,9:01,2,7,PIT 25,7,0,Ben Roethlisberger pass complete short right to Hines Ward for 4 yards (tackle by Danieal Manning and Charles Tillman),0.270,0.100
2,8:21,,,,7,0,Timeout #1 by Chicago Bears,0.000,0.100
2,8:21,3,3,PIT 29,7,0,Ben Roethlisberger pass complete short middle to Santonio Holmes for 10 yards (tackle by Charles Tillman),0.100,1.530
