Unnamed: 0,CIN,GNB
First Downs,21,22
Rush-Yds-TDs,30-110-0,17-64-0
Cmp-Att-Yd-TD-INT,21-27-212-2-0,28-42-313-3-1
Sacked-Yards,3-21,6-33
Net Pass Yards,191,280
Total Yards,301,344
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,7-68,4-33
Third Down Conv.,4-12,7-15
Fourth Down Conv.,0-0,0-0
Time of Possession,34:17,29:21
