Quarter,Time,Down,ToGo,Location,CIN,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Packers won the coin toss and deferred, Bengals to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 64 yards, returned by Alex Erickson for 20 yards (tackle by Marwin Evans)",0.000,-0.340
1,14:55,1,10,CIN 21,0,0,Jeremy Hill middle for 1 yard (tackle by Ahmad Brooks),0.340,-0.070
1,14:15,2,9,CIN 22,0,0,Andy Dalton pass complete short middle to Tyler Kroft for 13 yards (tackle by Kevin King),-0.070,1.270
1,13:35,1,10,CIN 35,0,0,Jeremy Hill left end for 2 yards (tackle by Blake Martinez),1.270,0.990
1,13:00,2,8,CIN 37,0,0,Andy Dalton pass complete short right to A.J. Green for 13 yards (tackle by Morgan Burnett and Kevin King),0.990,2.260
1,12:18,1,10,,0,0,Andy Dalton pass incomplete deep right intended for A.J. Green,2.260,1.710
1,12:11,2,10,,0,0,Andy Dalton pass complete short right to Jeremy Hill for 6 yards (tackle by Quinton Dial),1.710,1.820
1,11:38,3,4,GNB 44,0,0,"Joe Mixon left end for 20 yards (tackle by Marwin Evans). Penalty on Marwin Evans: Face Mask (15 Yards), 12 yards",1.820,4.780
1,11:11,1,10,GNB 12,0,0,Joe Mixon right end for 3 yards (tackle by Blake Martinez),4.780,4.640
1,10:29,2,7,GNB 9,0,0,Joe Mixon right end for -1 yards (tackle by Dean Lowry),4.640,3.480
1,9:40,3,8,GNB 10,6,0,"Andy Dalton pass complete short middle to A.J. Green for 10 yards, touchdown",3.480,7.000
1,9:40,,,GNB 15,7,0,Randy Bullock kicks extra point good,0.000,0.000
1,9:40,,,CIN 35,7,0,"Randy Bullock kicks off 63 yards, out of bounds",0.000,-1.600
1,9:40,1,10,GNB 40,7,0,Aaron Rodgers sacked by Carlos Dunlap for 0 yards,1.600,1.050
1,9:14,2,10,GNB 40,7,0,"Aaron Rodgers pass incomplete deep left intended for Lance Kendricks. Penalty on Adam Jones: Defensive Pass Interference, 33 yards (no play)",1.050,3.780
1,9:07,1,10,CIN 27,7,0,Ty Montgomery left end for 7 yards (tackle by Kevin Minter),3.780,4.180
1,8:40,2,3,CIN 20,7,0,Aaron Rodgers pass incomplete short right intended for Davante Adams,4.180,3.470
1,8:36,3,3,CIN 20,7,0,Aaron Rodgers pass complete short middle to Jordy Nelson for 9 yards (tackle by George Iloka),3.470,4.840
