Quarter,Time,Tm,Detail,CIN,GNB
1,9:40,Bengals,A.J. Green 10 yard pass from Andy Dalton (Randy Bullock kick),7,0
,7:46,Packers,Lance Kendricks 1 yard pass from Aaron Rodgers (Mason Crosby kick),7,7
2,12:29,Bengals,Giovani Bernard 6 yard pass from Andy Dalton (Randy Bullock kick),14,7
,10:20,Bengals,William Jackson III 75 yard interception return (Randy Bullock kick),21,7
3,9:54,Packers,Jordy Nelson 1 yard pass from Aaron Rodgers (Mason Crosby kick),21,14
4,14:43,Packers,Mason Crosby 28 yard field goal,21,17
,3:46,Bengals,Randy Bullock 46 yard field goal,24,17
,0:17,Packers,Jordy Nelson 3 yard pass from Aaron Rodgers (Mason Crosby kick),24,24
OT,0:00,Packers,Mason Crosby 27 yard field goal,24,27
