Unnamed: 0,CHI,NOR
First Downs,20,18
Rush-Yds-TDs,32-156-0,27-87-0
Cmp-Att-Yd-TD-INT,18-30-220-2-3,26-35-214-3-0
Sacked-Yards,2-8,0-0
Net Pass Yards,212,214
Total Yards,368,301
Fumbles-Lost,3-2,0-0
Turnovers,5,0
Penalties-Yards,8-71,1-5
Third Down Conv.,6-12,7-14
Fourth Down Conv.,1-1,0-1
Time of Possession,30:40,29:20
