Quarter,Time,Tm,Detail,CHI,NOR
1.0,11:14,Bears,Cole Kmet 18 yard pass from Tyson Bagent (Cairo Santos kick),7,0
,0:44,Saints,Chris Olave 8 yard pass from Derek Carr (Blake Grupe kick),7,7
2.0,12:46,Bears,Cole Kmet 9 yard pass from Tyson Bagent (Cairo Santos kick),14,7
,6:05,Saints,Taysom Hill 2 yard pass from Derek Carr (Blake Grupe kick),14,14
3.0,11:43,Saints,Blake Grupe 55 yard field goal,14,17
,3:27,Bears,Cairo Santos 31 yard field goal,17,17
4.0,11:05,Saints,Juwan Johnson 3 yard pass from Taysom Hill (Blake Grupe kick),17,24
