Unnamed: 0,DEN,NWE
First Downs,22,35
Rush-Yds-TDs,20-70-0,54-251-3
Cmp-Att-Yd-TD-INT,31-44-337-3-0,23-31-223-1-0
Sacked-Yards,2-13,4-30
Net Pass Yards,324,193
Total Yards,394,444
Fumbles-Lost,3-3,2-1
Turnovers,3,1
Penalties-Yards,4-21,6-59
Third Down Conv.,7-13,11-17
Fourth Down Conv.,1-2,0-1
Time of Possession,24:11,35:49
