Quarter,Time,Down,ToGo,Location,DEN,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 67 yards, returned by Omar Bolden for 18 yards (tackle by Kyle Arrington)",0.000,-0.140
1,14:56,1,10,DEN 16,0,0,Peyton Manning pass incomplete short middle intended for Jacob Tamme,-0.140,-0.660
1,14:52,2,10,DEN 16,0,0,Peyton Manning pass complete short right to Jacob Tamme for 11 yards (tackle by Brandon Spikes),-0.660,0.740
1,14:27,1,10,DEN 27,0,0,Peyton Manning pass complete short right to Demaryius Thomas for 1 yard (tackle by Tavon Wilson),0.740,0.330
1,14:07,2,9,DEN 28,0,0,Peyton Manning pass complete short right to Joel Dreessen for 4 yards (tackle by Tavon Wilson),0.330,0.170
1,13:31,3,5,DEN 32,0,0,Peyton Manning for 10 yards,0.170,1.730
1,13:03,1,10,DEN 42,0,0,Peyton Manning pass complete short middle to Jacob Tamme for 5 yards (tackle by Jerod Mayo),1.730,1.860
1,12:37,2,5,DEN 47,0,0,Peyton Manning pass incomplete short right intended for Jacob Tamme,1.860,1.160
1,12:33,3,5,DEN 47,0,0,"Peyton Manning pass complete deep middle to Demaryius Thomas for 43 yards (tackle by Sterling Moore). Demaryius Thomas fumbles (forced by Sterling Moore), recovered by Sterling Moore at NWE-3 and returned for 14 yards",1.160,0.060
1,12:22,1,10,NWE 17,0,0,Tom Brady pass complete short right to Rob Gronkowski for 12 yards (tackle by Mike Adams),-0.060,0.870
1,12:08,1,10,NWE 29,0,0,Danny Woodhead right guard for 5 yards (tackle by Derek Wolfe),0.870,1.000
1,11:49,2,5,NWE 34,0,0,Tom Brady pass complete short left to Wes Welker for -3 yards (tackle by Rahim Moore),1.000,-0.100
1,11:23,3,8,NWE 31,0,0,Tom Brady pass incomplete deep right intended for Wes Welker,-0.100,-1.310
1,11:18,4,8,NWE 31,0,0,"Zoltan Mesko punts 42 yards, fair catch by Jim Leonhard. Penalty on Danny Trevathan: Running Into the Kicker (Declined)",-1.310,-0.740
1,11:11,1,10,DEN 27,0,0,Willis McGahee left tackle for -4 yards (tackle by Brandon Spikes),0.740,-0.340
1,10:42,2,14,DEN 23,0,0,Peyton Manning pass complete short right to Willis McGahee for 4 yards (tackle by Kyle Arrington and Jerod Mayo),-0.340,-0.490
1,9:57,3,10,DEN 27,0,0,Peyton Manning pass complete short middle to Demaryius Thomas for 15 yards (tackle by Devin McCourty),-0.490,1.730
1,9:21,1,10,DEN 42,0,0,Willis McGahee left tackle for 1 yard (tackle by Jerod Mayo and Kyle Love),1.730,1.320
1,8:49,2,9,DEN 43,0,0,Peyton Manning pass complete short left to Jacob Tamme for 4 yards,1.320,1.160
1,8:22,3,5,DEN 47,0,0,Peyton Manning sacked by Jerod Mayo for -7 yards. Penalty on DEN: Illegal Formation (Declined),1.160,-0.720
1,8:01,4,12,DEN 40,0,0,"Britton Colquitt punts 49 yards, returned by Wes Welker for 5 yards (tackle by Omar Bolden)",-0.720,0.140
1,7:52,1,10,NWE 16,0,0,Tom Brady pass complete short middle to Wes Welker for 15 yards (tackle by Keith Brooking),-0.140,1.000
1,7:28,1,10,NWE 31,0,0,Stevan Ridley up the middle for 7 yards (tackle by Danny Trevathan and Wesley Woodyard),1.000,1.410
1,7:07,2,3,NWE 38,0,0,Stevan Ridley right guard for 5 yards (tackle by Justin Bannan and Danny Trevathan),1.410,1.800
1,6:50,1,10,NWE 43,0,0,Stevan Ridley right end for 3 yards (tackle by Mike Adams and Justin Bannan),1.800,1.660
1,6:18,2,7,NWE 46,0,0,Tom Brady pass complete short right to Wes Welker for 9 yards,1.660,2.590
1,6:07,1,10,DEN 45,0,0,Stevan Ridley up the middle for 15 yards (tackle by Chris Harris and Tracy Porter),2.590,3.580
1,5:46,1,10,DEN 30,0,0,Stevan Ridley left guard for 3 yards (tackle by Wesley Woodyard and Rahim Moore),3.580,3.440
1,5:12,2,7,DEN 27,0,0,Tom Brady pass complete short middle to Wes Welker for 8 yards (tackle by Chris Harris),3.440,4.310
1,4:42,1,10,DEN 19,0,0,Brandon Bolden up the middle for 5 yards (tackle by Mike Adams and Von Miller),4.310,4.530
1,4:19,2,5,DEN 14,0,0,Brandon Bolden right end for -3 yards (tackle by Von Miller),4.530,3.260
1,3:41,3,8,DEN 17,0,0,Tom Brady pass complete short middle to Brandon Lloyd for 9 yards (tackle by Champ Bailey),3.260,5.370
1,3:13,1,8,DEN 8,0,6,"Tom Brady pass complete short left to Wes Welker for 8 yards, touchdown",5.370,7.000
1,3:13,,,DEN 2,0,7,Stephen Gostkowski kicks extra point good,0.000,0.000
1,3:08,,,NWE 35,0,7,"Stephen Gostkowski kicks off 71 yards, touchback",0.000,0.280
1,3:08,1,10,DEN 20,0,7,Willis McGahee up the middle for 4 yards (tackle by Jerod Mayo and Tavon Wilson),0.280,0.270
1,2:42,2,6,DEN 24,0,7,Willis McGahee left guard for 3 yards (tackle by Kyle Love and Jerod Mayo),0.270,-0.030
1,2:08,3,3,DEN 27,0,7,Peyton Manning pass complete short left to Willis McGahee for 9 yards (tackle by Kyle Arrington),-0.030,1.330
1,1:44,1,10,DEN 36,0,7,Peyton Manning pass complete deep left to Demaryius Thomas for 30 yards (tackle by Patrick Chung),1.330,3.310
1,1:18,1,10,NWE 34,0,7,Ronnie Hillman up the middle for 7 yards (tackle by Rob Ninkovich and Jerod Mayo),3.310,3.720
1,0:51,2,3,NWE 27,0,7,Ronnie Hillman up the middle for 2 yards (tackle by Tavon Wilson and Jerod Mayo),3.720,0.000
1,0:05,,,,0,7,Timeout #1 by Denver Broncos,0.000,3.270
1,0:05,3,1,NWE 25,0,7,Willis McGahee left guard for 1 yard (tackle by Jerod Mayo),3.270,3.970
,,,,,,,"NWE challenged the ruling, and the play was upheld.",,
Quarter,Time,Down,ToGo,Location,DEN,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 24,0,7,Peyton Manning pass incomplete short right intended for Demaryius Thomas (defended by Chandler Jones),3.970,3.430
2,14:56,2,10,NWE 24,0,7,Willis McGahee right guard for 4 yards (tackle by Tracy White and Jerod Mayo),3.430,3.270
2,14:15,3,6,NWE 20,0,7,"Peyton Manning pass incomplete deep right intended for Eric Decker. Penalty on Devin McCourty: Defensive Pass Interference, 19 yards (no play)",3.270,6.970
2,14:09,1,1,NWE 1,6,7,"Peyton Manning pass complete short right to Joel Dreessen for 1 yard, touchdown",6.970,7.000
2,14:09,,,NWE 2,7,7,Matt Prater kicks extra point good,0.000,0.000
2,14:05,,,DEN 35,7,7,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
2,14:05,1,10,NWE 20,7,7,Tom Brady pass complete short right to Rob Gronkowski for no gain,0.280,-0.270
2,13:21,2,10,NWE 20,7,7,Tom Brady pass incomplete deep middle intended for Rob Gronkowski,-0.270,-0.960
2,13:17,3,10,NWE 20,7,7,Tom Brady pass complete short right to Wes Welker for 14 yards (tackle by Rahim Moore and Chris Harris),-0.960,1.200
2,12:54,1,10,NWE 34,7,7,Danny Woodhead right tackle for no gain (tackle by Wesley Woodyard),1.200,0.660
2,12:22,2,10,NWE 34,7,7,Tom Brady pass complete short middle to Wes Welker for 7 yards (tackle by Wesley Woodyard),0.660,0.890
2,11:58,3,3,NWE 41,7,7,Danny Woodhead left guard for 7 yards (tackle by Rahim Moore),0.890,2.130
2,11:35,1,10,NWE 48,7,7,Stevan Ridley right guard for 8 yards (tackle by Wesley Woodyard),2.130,2.660
2,11:17,2,2,DEN 44,7,7,Stevan Ridley left tackle for 4 yards (tackle by Chris Harris),2.660,2.920
2,10:59,1,10,DEN 40,7,7,Stevan Ridley left end for 3 yards (tackle by Joe Mays),2.920,2.780
2,10:30,2,7,DEN 37,7,7,Tom Brady pass complete short left to Brandon Lloyd for 15 yards (tackle by Champ Bailey and Rahim Moore),2.780,4.110
2,9:53,1,10,DEN 22,7,7,"Penalty on Logan Mankins: False Start, 5 yards (no play)",4.110,3.780
2,9:28,1,15,DEN 27,7,7,Tom Brady pass complete short middle to Rob Gronkowski for 13 yards (tackle by Mike Adams and Rahim Moore),3.780,4.850
2,9:07,2,2,DEN 14,7,7,Stevan Ridley up the middle for 3 yards (tackle by Derek Wolfe and Kevin Vickerson),4.850,4.840
2,8:25,1,10,DEN 11,7,7,Tom Brady pass complete short middle to Brandon Lloyd for 10 yards (tackle by Champ Bailey),4.840,6.970
2,8:00,1,1,DEN 1,7,13,"Shane Vereen left guard for 1 yard, touchdown",6.970,7.000
2,8:00,,,DEN 2,7,14,Stephen Gostkowski kicks extra point good,0.000,0.000
2,,,,NWE 35,,,"Stephen Gostkowski kicks off 66 yards, returned by Omar Bolden for 33 yards",,
2,7:51,1,10,DEN 32,7,14,Willis McGahee up the middle for 8 yards (tackle by Jerod Mayo),1.070,1.610
2,7:26,2,2,DEN 40,7,14,Peyton Manning pass complete short middle to Brandon Stokley for 5 yards (tackle by Brandon Spikes),1.610,1.930
2,6:55,1,10,DEN 45,7,14,Willis McGahee up the middle for 9 yards (tackle by Rob Ninkovich and Jerod Mayo),1.930,2.600
2,6:28,2,1,NWE 46,7,14,Willis McGahee up the middle for 2 yards (tackle by Trevor Scott and Ron Brace),2.600,2.650
2,5:54,1,10,NWE 44,7,14,Peyton Manning pass complete short middle to Eric Decker for 5 yards (tackle by Tavon Wilson),2.650,2.780
2,5:23,2,5,NWE 39,7,14,Peyton Manning pass incomplete deep right intended for Jacob Tamme,2.780,2.080
2,5:18,3,5,NWE 39,7,14,Peyton Manning pass incomplete short middle intended for Brandon Stokley (defended by Alfonzo Dennard),2.080,0.660
2,5:13,4,5,NWE 39,7,14,Britton Colquitt punts 37 yards,0.660,0.380
2,5:03,1,10,NWE 2,7,14,Tom Brady pass complete short left to Wes Welker for 7 yards (tackle by Joe Mays),-0.380,-0.270
2,4:33,2,3,NWE 9,7,14,Tom Brady pass complete short middle to Wes Welker for 6 yards (tackle by Keith Brooking),-0.270,-0.220
2,4:06,1,10,NWE 15,7,14,Brandon Bolden right tackle for -4 yards (tackle by Kevin Vickerson),-0.220,-1.070
2,3:45,2,14,NWE 11,7,14,Tom Brady pass incomplete short left intended for Daniel Fells,-1.070,-1.890
2,3:42,3,14,NWE 11,7,14,Tom Brady pass complete short right to Danny Woodhead for 25 yards (tackle by Mike Adams and Joe Mays),-1.890,1.330
