Unnamed: 0,OAK,KAN
First Downs,19,22
Rush-Yds-TDs,25-122-0,29-96-3
Cmp-Att-Yd-TD-INT,20-30-222-1-2,15-29-175-1-0
Sacked-Yards,2-12,1-12
Net Pass Yards,210,163
Total Yards,332,259
Fumbles-Lost,2-1,0-0
Turnovers,3,0
Penalties-Yards,12-99,0-0
Third Down Conv.,3-9,7-11
Fourth Down Conv.,1-2,0-1
Time of Possession,31:41,28:19
