Quarter,Time,Tm,Detail,SEA,ARI
1,3:02,Cardinals,Chester Taylor 1 yard rush (Jay Feely kick),0,7
2,12:10,Seahawks,Stephen Hauschka 43 yard field goal,3,7
,3:28,Cardinals,Jay Feely 41 yard field goal,3,10
3,10:56,Seahawks,Leon Washington 48 yard rush (Stephen Hauschka kick),10,10
,6:18,Cardinals,Todd Heap 13 yard pass from John Skelton (Jay Feely kick),10,17
4,12:18,Cardinals,Jay Feely 43 yard field goal,10,20
,9:05,Seahawks,Stephen Hauschka 26 yard field goal,13,20
,7:47,Seahawks,Ricardo Lockette 61 yard pass from Tarvaris Jackson (Stephen Hauschka kick),20,20
OT,5:59,Cardinals,Jay Feely 28 yard field goal,20,23
