Quarter,Time,Down,ToGo,Location,DET,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Lions to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Blake Grupe kicks off 62 yards, returned by Khalil Dorsey for 17 yards (tackle by Zack Baun and Johnathan Abram)",0.000,0.280
1,14:57,1,10,DET 20,0,0,"Penalty on Jonah Jackson: False Start, 5 yards (accepted) (no play)",0.280,-0.310
1,14:57,1,15,DET 15,0,0,David Montgomery left tackle for 4 yards (tackle by Cameron Jordan and Khalen Saunders),-0.310,-0.460
1,14:18,2,11,DET 19,0,0,David Montgomery right guard for 4 yards (tackle by Nathan Shepherd and Jordan Howden),-0.460,-0.560
1,13:39,3,7,DET 23,0,0,David Montgomery left guard for 9 yards (tackle by Alontae Taylor and Paulson Adebo),-0.560,1.070
1,13:03,1,10,DET 32,0,0,David Montgomery left tackle for 4 yards (tackle by Bryan Bresee),1.070,1.070
1,12:32,2,6,DET 36,0,0,"Jared Goff pass complete short left to Jameson Williams for 11 yards (tackle by Paulson Adebo). Penalty on Carl Granderson: Roughing the Passer, 15 yards (accepted) . Penalty on Carl Granderson: Defensive Pass Interference, 15 yards (declined)",1.070,3.050
1,12:03,1,10,NOR 38,0,0,Jahmyr Gibbs right tackle for 36 yards (tackle by Paulson Adebo),3.050,6.740
1,11:19,1,2,NOR 2,6,0,"David Montgomery right end for 2 yards, touchdown",6.740,7.000
1,11:15,,,NOR 15,7,0,Riley Patterson kicks extra point good,0.000,0.000
1,11:15,,,DET 35,7,0,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,11:15,1,10,NOR 25,7,0,Derek Carr pass short middle intended for Juwan Johnson is intercepted by Brian Branch at NO-30 and returned for 13 yards (tackle by James Hurst),0.610,-4.440
1,11:04,1,10,NOR 17,7,0,Jahmyr Gibbs left end for 4 yards (tackle by Isaac Yiadom),4.440,4.500
1,10:32,2,6,NOR 13,7,0,Jared Goff pass incomplete short right intended for Josh Reynolds,4.500,3.680
1,10:28,3,6,NOR 13,13,0,"Jared Goff pass complete short middle to Sam LaPorta for 13 yards, touchdown",3.680,7.000
1,10:24,,,NOR 15,14,0,Riley Patterson kicks extra point good,0.000,0.000
1,10:24,,,DET 35,14,0,"Jack Fox kicks off 65 yards, touchback.",0.000,0.610
1,10:24,1,10,NOR 25,14,0,Jamaal Williams left guard for -1 yards (tackle by Aidan Hutchinson and Jack Campbell),0.610,-0.070
1,9:53,2,11,NOR 24,14,0,Derek Carr pass incomplete short right intended for Alvin Kamara (defended by Jalen Reeves-Maybin),-0.070,-0.760
1,9:48,3,11,NOR 24,14,0,Derek Carr pass incomplete short right intended for A.T. Perry (defended by Cameron Sutton),-0.760,-1.770
1,9:44,4,11,NOR 24,14,0,"Lou Hedley punts 41 yards, returned by Kalif Raymond for 11 yards (tackle by Adam Prentice and J.T. Gray)",-1.770,-1.990
1,9:34,1,10,DET 46,14,0,Jahmyr Gibbs left tackle for no gain (tackle by Nathan Shepherd),1.990,1.450
1,8:57,2,10,DET 46,14,0,Jared Goff pass complete short right to Sam LaPorta for 29 yards (tackle by Isaac Yiadom),1.450,3.910
1,8:21,1,10,NOR 25,20,0,"Jared Goff pass complete short right to Amon-Ra St. Brown for 25 yards, touchdown",3.910,7.000
1,8:15,,,NOR 15,21,0,Riley Patterson kicks extra point good,0.000,0.000
1,8:15,,,DET 35,21,0,"Jack Fox kicks off 58 yards, returned by Lynn Bowden for 18 yards (tackle by Jalen Reeves-Maybin and Craig Reynolds)",0.000,0.610
1,8:10,1,10,NOR 25,21,0,Taysom Hill left guard for 7 yards (tackle by Kerby Joseph),0.610,1.010
1,7:37,2,3,NOR 32,21,0,Alvin Kamara right end for -2 yards (tackle by Jack Campbell),1.010,0.040
1,7:00,3,5,NOR 30,21,0,Derek Carr sacked by Bruce Irvin for -10 yards,0.040,-2.030
1,6:17,4,15,NOR 20,21,0,"Lou Hedley punts 49 yards, recovered by Kalif Raymond at DET-32 (tackle by Taysom Hill)",-2.030,-1.200
1,6:08,1,10,DET 34,21,0,Jared Goff pass complete short right to David Montgomery for -1 yards (tackle by Cameron Jordan),1.200,0.520
1,5:30,2,11,DET 33,21,0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown,0.520,-0.160
1,5:25,3,11,DET 33,21,0,Jared Goff sacked by Zack Baun for -8 yards,-0.160,-1.700
1,4:44,4,19,DET 25,21,0,"Jack Fox punts 49 yards, returned by Lynn Bowden for -2 yards (tackle by Jalen Reeves-Maybin)",-1.700,-0.540
1,4:33,1,10,NOR 24,21,0,Derek Carr pass complete short right to Jamaal Williams for 6 yards (tackle by Tracy Walker and Malcolm Rodriguez),0.540,0.810
1,3:56,2,4,NOR 30,21,0,Taysom Hill right guard for 21 yards (tackle by John Cominsky),0.810,2.320
1,3:18,1,10,DET 49,21,0,Alvin Kamara right tackle for 1 yard (tackle by Josh Paschal),2.320,1.920
1,2:37,2,9,DET 48,21,0,Taysom Hill pass incomplete short right intended for Juwan Johnson,1.920,1.220
1,2:31,3,9,DET 48,21,0,Derek Carr pass incomplete deep right intended for A.T. Perry,1.220,0.070
1,2:27,4,9,DET 48,21,0,"Lou Hedley punts 48 yards, touchback.",0.070,-0.280
1,2:19,1,10,DET 20,21,0,David Montgomery right guard for 13 yards (tackle by Isaac Yiadom),0.280,1.140
1,1:43,1,10,DET 33,21,0,Jared Goff pass incomplete short right intended for Amon-Ra St. Brown (defended by Carl Granderson),1.140,0.590
1,1:40,2,10,DET 33,21,0,David Montgomery left guard for 3 yards (tackle by Nathan Shepherd and Nephi Sewell),0.590,0.300
1,1:01,3,7,DET 36,21,0,Jared Goff pass incomplete short left intended for Josh Reynolds,0.300,-0.980
1,0:56,4,7,DET 36,21,0,"Jack Fox punts 38 yards, returned by Lynn Bowden for no gain (tackle by Jalen Reeves-Maybin). Penalty on Isaac Yiadom: Offensive Holding, 10 yards (accepted)",-0.980,0.140
1,0:47,1,10,NOR 16,21,0,Alvin Kamara left end for 7 yards (tackle by Derrick Barnes and Benito Jones),-0.140,0.420
1,0:05,2,3,NOR 23,21,0,Alvin Kamara left guard for 4 yards (tackle by Quinton Bohanna),0.420,0.740
Quarter,Time,Down,ToGo,Location,DET,NOR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NOR 27,21,0,Jamaal Williams left tackle for 4 yards (tackle by Malcolm Rodriguez),0.740,0.740
2,14:27,2,6,NOR 31,21,0,Alvin Kamara left end for 2 yards (tackle by Tracy Walker),0.740,0.300
2,13:45,3,4,NOR 33,21,0,Derek Carr pass complete short middle to Alvin Kamara for 9 yards (tackle by Jerry Jacobs and Brian Branch),0.300,1.730
2,13:08,1,10,NOR 42,21,0,Taysom Hill right tackle for -1 yards (tackle by Jack Campbell),1.730,1.050
2,12:35,2,11,NOR 41,21,0,"Derek Carr pass incomplete short right intended for Juwan Johnson. Penalty on Ryan Ramczyk: Offensive Holding, 10 yards (declined)",1.050,0.370
2,12:31,3,11,NOR 41,21,0,"Penalty on Erik McCoy: False Start, 5 yards (accepted) (no play)",0.370,-0.290
