Unnamed: 0,DET,NOR
First Downs,18,23
Rush-Yds-TDs,30-142-2,36-113-3
Cmp-Att-Yd-TD-INT,16-25-213-2-0,19-29-267-1-1
Sacked-Yards,1-8,2-18
Net Pass Yards,205,249
Total Yards,347,362
Fumbles-Lost,1-0,1-1
Turnovers,0,2
Penalties-Yards,6-45,6-50
Third Down Conv.,6-13,6-12
Fourth Down Conv.,0-0,0-1
Time of Possession,27:50,32:10
