Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
David Montgomery,DET,18,56,1,5,34,1.9,22,1.2,0,
Jahmyr Gibbs,DET,8,60,0,1,17,2.1,43,5.4,0,
Jared Goff,DET,2,-2,0,0,-2,-1.0,0,0.0,0,
Kalif Raymond,DET,1,9,0,,7,7.0,2,2.0,0,
Jameson Williams,DET,1,19,1,1,19,19.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Alvin Kamara,NOR,14,51,2,5,20,1.4,31,2.2,1,14.0
Taysom Hill,NOR,13,59,1,3,25,1.9,34,2.6,0,
Jamaal Williams,NOR,5,10,0,1,4,0.8,6,1.2,0,
Lynn Bowden Jr.,NOR,2,-6,0,1,-8,-4.0,2,1.0,0,
Derek Carr,NOR,2,-1,0,0,-1,-0.5,0,0.0,0,
