Quarter,Time,Tm,Detail,SFO,NYJ
1.0,14:43,49ers,Raheem Mostert 80 yard rush (Robbie Gould kick),7,0
,3:39,Jets,Sam Ficken 41 yard field goal,7,3
2.0,9:55,49ers,Jordan Reed 18 yard pass from Jimmy Garoppolo (Robbie Gould kick),14,3
,0:11,49ers,Jordan Reed 4 yard pass from Jimmy Garoppolo (Robbie Gould kick),21,3
3.0,8:49,49ers,Robbie Gould 46 yard field goal,24,3
,2:49,Jets,Sam Ficken 25 yard field goal,24,6
4.0,10:23,49ers,Jerick McKinnon 16 yard rush (Robbie Gould kick),31,6
,1:23,Jets,Braxton Berrios 30 yard pass from Sam Darnold (Sam Ficken kick),31,13
