Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jordan Reed,SFO,8,7,50,2,3,23,3.3,27,3.9,3.4,2,3.5,0,0.0,0,132.3
Kendrick Bourne,SFO,5,4,67,0,3,40,10.0,27,6.8,15.0,1,4.0,1,20.0,0,118.7
Brandon Aiyuk,SFO,3,2,21,0,2,-1,-0.5,22,11.0,-2.0,1,2.0,0,0.0,0,86.8
Tevin Coleman,SFO,2,2,28,0,2,14,7.0,14,7.0,7.0,1,2.0,0,0.0,0,118.7
Kyle Juszczyk,SFO,2,2,6,0,,-9,-4.5,15,7.5,-4.5,0,,0,0.0,0,79.2
Raheem Mostert,SFO,2,2,15,0,1,6,3.0,9,4.5,3.0,0,,0,0.0,0,97.9
Trent Taylor,SFO,3,2,10,0,1,2,1.0,8,4.0,6.3,0,,0,0.0,0,71.5
Ross Dwelley,SFO,1,1,5,0,,2,2.0,3,3.0,2.0,0,,0,0.0,0,87.5
Jerick McKinnon,SFO,1,0,0,0,0,0,,0,,6.0,0,,0,0.0,1,0.0
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Braxton Berrios,NYJ,8,6,59,1,3,31,5.2,28,4.7,5.8,0,,1,12.5,0,134.9
Chris Hogan,NYJ,8,6,75,0,5,41,6.8,34,5.7,7.3,0,,0,0.0,0,103.6
Josh Malone,NYJ,6,4,16,0,1,8,2.0,8,2.0,2.8,0,,1,16.7,0,70.1
Kalen Ballage,NYJ,2,2,12,0,,-2,-1.0,14,7.0,-1.0,1,2.0,0,0.0,0,91.7
Breshad Perriman,NYJ,2,2,12,0,1,5,2.5,7,3.5,2.5,0,,0,0.0,0,91.7
Chris Herndon,NYJ,4,1,5,0,,-3,-3.0,8,8.0,4.0,1,1.0,1,25.0,0,39.6
Frank Gore,NYJ,2,0,0,0,0,0,,0,,2.0,0,,0,0.0,0,39.6
