Unnamed: 0,SFO,NYJ
First Downs,17,17
Rush-Yds-TDs,29-182-2,29-104-0
Cmp-Att-Yd-TD-INT,22-27-202-2-1,21-32-179-1-0
Sacked-Yards,3-25,1-6
Net Pass Yards,177,173
Total Yards,359,277
Fumbles-Lost,2-0,0-0
Turnovers,1,0
Penalties-Yards,5-59,5-65
Third Down Conv.,7-13,5-14
Fourth Down Conv.,0-0,0-2
Time of Possession,32:13,27:47
