Unnamed: 0,MIN,CHI
First Downs,28,13
Rush-Yds-TDs,38-141-2,22-118-1
Cmp-Att-Yd-TD-INT,28-33-341-1-1,13-27-147-1-2
Sacked-Yards,0-0,1-6
Net Pass Yards,341,141
Total Yards,482,259
Fumbles-Lost,2-1,0-0
Turnovers,2,2
Penalties-Yards,8-36,2-20
Third Down Conv.,6-11,2-9
Fourth Down Conv.,0-0,0-3
Time of Possession,36:36,23:24
