Quarter,Time,Tm,Detail,MIN,CHI
1.0,10:12,Vikings,Adam Thielen 4 yard pass from Kirk Cousins (Greg Joseph kick failed),6,0
2.0,9:20,Vikings,Alexander Mattison 1 yard rush (Greg Joseph kick),13,0
,4:57,Vikings,Greg Joseph 28 yard field goal,16,0
,3:31,Bears,Velus Jones Jr. 42 yard rush (pass failed),16,6
3.0,9:25,Vikings,Alexander Mattison 1 yard rush (Greg Joseph kick),23,6
,4:07,Bears,Cole Kmet 11 yard pass from Nathan Peterman (Cairo Santos kick),23,13
4.0,14:55,Vikings,Greg Joseph 50 yard field goal,26,13
,3:39,Vikings,Greg Joseph 41 yard field goal,29,13
