Unnamed: 0,SDG,OAK
First Downs,15,21
Rush-Yds-TDs,20-32-0,20-45-0
Cmp-Att-Yd-TD-INT,24-33-231-1-0,32-46-297-1-0
Sacked-Yards,1-5,3-21
Net Pass Yards,226,276
Total Yards,258,321
Fumbles-Lost,0-0,4-1
Turnovers,0,1
Penalties-Yards,9-78,6-35
Third Down Conv.,5-13,5-15
Fourth Down Conv.,0-0,0-2
Time of Possession,30:34,29:26
