Quarter,Time,Tm,Detail,SDG,OAK
1.0,4:56,Raiders,Sebastian Janikowski 51 yard field goal,0,3
,1:00,Chargers,Nate Kaeding 23 yard field goal,3,3
2.0,3:10,Chargers,Malcom Floyd 6 yard pass from Philip Rivers (Nate Kaeding kick),10,3
,0:04,Raiders,Sebastian Janikowski 19 yard field goal,10,6
3.0,6:01,Chargers,Nate Kaeding 28 yard field goal,13,6
,1:49,Chargers,Nate Kaeding 19 yard field goal,16,6
4.0,12:48,Chargers,Nate Kaeding 41 yard field goal,19,6
,5:06,Chargers,Nate Kaeding 45 yard field goal,22,6
,0:54,Raiders,Rod Streater 2 yard pass from Carson Palmer (Rod Streater pass from Carson Palmer),22,14
