Unnamed: 0,ARI,TEN
First Downs,15,20
Rush-Yds-TDs,20-75-1,23-163-1
Cmp-Att-Yd-TD-INT,21-31-220-0-0,27-43-387-1-0
Sacked-Yards,1-3,4-18
Net Pass Yards,217,369
Total Yards,292,532
Fumbles-Lost,1-0,1-1
Turnovers,0,1
Penalties-Yards,4-25,6-38
Third Down Conv.,5-12,6-16
Fourth Down Conv.,0-0,4-4
Time of Possession,28:53,31:07
