Quarter,Time,Tm,Detail,DET,ATL
1.0,9:25,Falcons,Devonta Freeman 7 yard pass from Matt Ryan (Matt Bryant kick),0,7
,2:53,Falcons,Bear Pascoe 1 yard pass from Matt Ryan (Matt Bryant kick),0,14
2.0,3:45,Falcons,Steven Jackson 1 yard rush (Matt Bryant kick),0,21
3.0,7:54,Lions,Matt Prater 22 yard field goal,3,21
,4:38,Lions,Golden Tate 59 yard pass from Matthew Stafford (Matt Prater kick),10,21
4.0,14:10,Lions,Matt Prater 20 yard field goal,13,21
,3:56,Lions,Theo Riddick 5 yard pass from Matthew Stafford (pass failed),19,21
,0:00,Lions,Matt Prater 48 yard field goal,22,21
