Unnamed: 0,DET,ATL
First Downs,22,22
Rush-Yds-TDs,23-60-0,26-78-1
Cmp-Att-Yd-TD-INT,24-47-325-2-1,20-27-228-2-1
Sacked-Yards,0-0,2-15
Net Pass Yards,325,213
Total Yards,385,291
Fumbles-Lost,2-0,3-0
Turnovers,1,1
Penalties-Yards,8-85,5-39
Third Down Conv.,8-15,4-8
Fourth Down Conv.,0-0,0-0
Time of Possession,30:55,29:05
