Quarter,Time,Down,ToGo,Location,DET,ATL,Detail,EPB,EPA
1,7:18,2,20,DET 23,0,7,Matthew Stafford pass complete short left to Theo Riddick for 7 yards (tackle by Dezmen Southward),-0.760,-0.490
1,6:39,3,13,DET 30,0,7,Matthew Stafford pass incomplete deep left intended for Corey Fuller,-0.490,-1.370
1,6:34,4,13,DET 30,0,7,"Sam Martin punts 46 yards, returned by Devin Hester for 20 yards (tackle by Jed Collins)",-1.370,-1.860
1,6:19,1,10,ATL 44,0,7,Steven Jackson left guard for 3 yards (tackle by James Ihedigbo),1.860,1.720
1,5:44,2,7,ATL 47,0,7,Matt Ryan pass complete short left to Julio Jones for 14 yards (tackle by George Johnson),1.720,2.980
1,5:02,1,10,DET 39,0,7,Steven Jackson right guard for 3 yards (tackle by Ndamukong Suh),2.980,2.850
1,4:24,2,7,DET 36,0,7,"Matt Ryan pass incomplete deep right intended for Julio Jones. Penalty on Jake Matthews: Illegal Use of Hands, 10 yards (no play)",2.850,1.500
1,4:18,2,17,DET 46,0,7,Matt Ryan pass complete short left to Jacquizz Rodgers for 9 yards (tackle by DeAndre Levy),1.500,2.020
1,3:34,3,8,DET 37,0,7,Matt Ryan pass complete short left to Harry Douglas for 16 yards (tackle by Danny Gorrer),2.020,4.170
1,3:04,1,10,DET 21,0,7,"Matt Ryan pass incomplete deep right intended for Roddy White. Penalty on Darius Slay: Defensive Pass Interference, 20 yards (no play)",4.170,6.970
1,2:58,1,1,DET 1,0,13,"Matt Ryan pass complete short middle to Bear Pascoe for 1 yard, touchdown",6.970,7.000
1,2:58,,,DET 2,0,14,Matt Bryant kicks extra point good,0.000,0.000
1,2:58,,,ATL 35,0,14,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.280
1,2:53,1,10,DET 20,0,14,"Matthew Stafford for no gain. Matthew Stafford fumbles, recovered by Joique Bell at DET-15",0.280,-1.070
1,2:11,2,15,DET 15,0,14,Matthew Stafford pass complete short middle to Corey Fuller for 14 yards (tackle by Paul Worrilow),-1.070,0.230
1,1:34,3,1,DET 29,0,14,Jed Collins right guard for 3 yards (tackle by Ra'Shede Hageman),0.230,1.070
1,0:57,1,10,DET 32,0,14,Theo Riddick right tackle for -2 yards (tackle by Paul Soliai),1.070,0.260
1,0:18,2,12,DET 30,0,14,Matthew Stafford left guard for 10 yards (tackle by Kemal Ishmael),0.260,0.890
Quarter,Time,Down,ToGo,Location,DET,ATL,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,2,DET 40,0,14,"Matthew Stafford pass incomplete short left intended for Corey Fuller. Penalty on Robert Alford: Defensive Pass Interference, 9 yards (no play)",0.890,2.190
2,14:54,1,10,DET 49,0,14,Joique Bell left tackle for 4 yards (tackle by Joplo Bartu),2.190,2.190
2,14:16,2,6,ATL 47,0,14,"Matthew Stafford pass complete short left to Jeremy Ross for 6 yards (tackle by Paul Worrilow). Jeremy Ross fumbles (forced by Paul Worrilow), ball out of bounds at ATL-41",2.190,2.850
2,13:39,1,10,ATL 41,0,14,Joique Bell right tackle for 4 yards (tackle by Paul Worrilow),2.850,2.850
2,13:00,2,6,ATL 37,0,14,Matthew Stafford pass incomplete deep right intended for Golden Tate (defended by Dwight Lowery),2.850,2.850
2,12:54,2,6,ATL 37,0,14,Timeout #1 by Atlanta Falcons,2.850,2.150
2,12:54,3,6,ATL 37,0,14,Matthew Stafford pass incomplete short left intended for Golden Tate,2.150,0.790
2,12:49,4,6,ATL 37,0,14,Sam Martin punts 27 yards,0.790,0.380
2,12:40,1,10,ATL 10,0,14,Antone Smith right tackle for 2 yards (tackle by Josh Bynes),-0.380,-0.630
2,12:04,2,8,ATL 12,0,14,Antone Smith right guard for no gain (tackle by George Johnson),-0.630,-1.190
2,11:26,3,8,ATL 12,0,14,Matt Ryan pass incomplete deep left intended for Julio Jones,-1.190,-2.490
2,11:19,4,8,ATL 12,0,14,"Matthew Bosher punts 50 yards, fair catch by Jeremy Ross",-2.490,-1.530
2,11:10,1,10,DET 39,0,14,Joique Bell left tackle for -1 yards (tackle by Ra'Shede Hageman),1.530,0.850
2,10:27,2,11,DET 38,0,14,Matthew Stafford pass incomplete short middle intended for Kellen Davis,0.850,0.170
2,10:22,3,11,DET 38,0,14,Matthew Stafford pass incomplete deep right intended for Golden Tate (defended by Desmond Trufant),0.170,-0.850
2,10:16,4,11,DET 38,0,14,Sam Martin punts 51 yards,-0.850,0.370
2,10:02,1,10,ATL 11,0,14,Matt Ryan pass complete short left to Levine Toilolo for 11 yards (tackle by James Ihedigbo),-0.370,0.410
2,9:20,1,10,ATL 22,0,14,Steven Jackson right end for -1 yards (tackle by DeAndre Levy),0.410,-0.270
2,8:42,2,11,ATL 21,0,14,Matt Ryan pass complete short left to Harry Douglas for 13 yards,-0.270,1.200
2,8:11,1,10,ATL 34,0,14,Matt Ryan pass complete short left to Julio Jones for 16 yards (tackle by Glover Quin),1.200,2.260
2,7:40,1,10,,0,14,Matt Ryan pass complete short right to Jacquizz Rodgers for 13 yards (tackle by James Ihedigbo),2.260,3.120
2,6:55,1,10,DET 37,0,14,Devonta Freeman left guard for 2 yards (tackle by Tahir Whitehead),3.120,2.840
2,6:17,2,8,DET 35,0,14,"Matt Ryan pass complete short left to Roddy White for 3 yards (tackle by James Ihedigbo). Penalty on James Ihedigbo: Unnecessary Roughness, 15 yards",2.840,4.440
2,5:49,1,10,DET 17,0,14,"Matt Ryan pass incomplete deep left intended for Julio Jones is intercepted by Rashean Mathis at DET--2 and returned for 102 yards. Penalty on Rashean Mathis: Defensive Pass Interference (Offsetting), Penalty on Matt Ryan: Low Block (Offsetting) (no play)",4.440,4.440
2,5:20,1,10,DET 17,0,14,Steven Jackson left tackle for 8 yards (tackle by James Ihedigbo),4.440,5.290
2,4:55,2,2,DET 9,0,14,Steven Jackson right guard for 3 yards (tackle by Darryl Tapp),5.290,5.830
2,4:28,1,6,DET 6,0,14,Steven Jackson right guard for 5 yards (tackle by Glover Quin),5.830,5.910
2,3:51,2,1,DET 1,0,14,Matt Ryan pass incomplete short right intended for Roddy White,5.910,5.170
2,3:48,3,1,DET 1,0,20,"Steven Jackson left tackle for 1 yard, touchdown",5.170,7.000
2,3:48,,,DET 2,0,21,Matt Bryant kicks extra point good,0.000,0.000
2,3:48,,,ATL 35,0,21,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.280
2,3:45,1,10,DET 20,0,21,Matthew Stafford pass complete short right to Theo Riddick for 9 yards (tackle by Prince Shembo),0.280,0.950
2,3:03,2,1,DET 29,0,21,Matthew Stafford pass complete short middle to Theo Riddick for 11 yards (tackle by Josh Wilson). Penalty on Prince Shembo: Illegal Contact (Declined),0.950,1.600
2,2:42,1,10,DET 40,0,21,Matthew Stafford pass incomplete short left intended for Theo Riddick,1.600,1.050
2,2:36,2,10,DET 40,0,21,Matthew Stafford pass incomplete short middle intended for Theo Riddick,1.050,0.370
2,2:33,3,10,DET 40,0,21,Matthew Stafford pass complete short right to Jeremy Ross for 15 yards (tackle by Dwight Lowery),0.370,2.590
2,2:00,1,10,ATL 45,0,21,Matthew Stafford pass complete short left to Golden Tate for 10 yards (tackle by Kemal Ishmael),2.590,3.250
2,1:29,1,10,ATL 35,0,21,Matthew Stafford pass incomplete short middle intended for Theo Riddick,3.250,2.700
2,1:25,2,10,ATL 35,0,21,Matthew Stafford pass incomplete short middle intended for Corey Fuller,2.700,2.010
2,1:21,3,10,ATL 35,0,21,Matthew Stafford pass incomplete deep left intended for Corey Fuller is intercepted by Robert Alford at ATL-18,2.010,-0.040
2,1:14,1,10,ATL 18,0,21,Matt Ryan right tackle for 6 yards (tackle by Ndamukong Suh),0.040,0.410
2,0:29,2,4,ATL 24,0,21,Antone Smith left end for 3 yards (tackle by Tahir Whitehead),0.410,-0.020
Quarter,Time,Down,ToGo,Location,DET,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,0,21,"Matthew Bosher kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,DET 20,0,21,Matthew Stafford pass incomplete short right intended for Golden Tate,0.280,-0.270
3,14:57,2,10,DET 20,0,21,Joique Bell left guard for 9 yards (tackle by Kemal Ishmael),-0.270,0.230
3,14:18,3,1,DET 29,0,21,Joique Bell left end for 5 yards (tackle by Joplo Bartu),0.230,1.200
3,13:40,1,10,DET 34,0,21,Matthew Stafford pass incomplete short right intended for Golden Tate,1.200,0.660
3,13:34,2,10,DET 34,0,21,Matthew Stafford pass complete short middle to Corey Fuller for 16 yards (tackle by Dwight Lowery),0.660,2.260
3,12:55,1,10,,0,21,George Winn right guard for 2 yards (tackle by Kroy Biermann),2.260,2.260
3,12:23,1,10,,0,21,Timeout #1 by Atlanta Falcons,2.260,1.980
3,12:23,2,8,ATL 48,0,21,Joique Bell left tackle for -1 yards (tackle by Josh Wilson),1.980,1.160
3,11:36,3,9,ATL 49,0,21,Matthew Stafford pass complete deep middle to Golden Tate for 28 yards (tackle by Kemal Ishmael),1.160,4.170
3,10:54,1,10,ATL 21,0,21,Theo Riddick left tackle for 2 yards (tackle by Corey Peters),4.170,3.900
3,10:10,2,8,ATL 19,0,21,Matthew Stafford pass complete short left to Theo Riddick for 6 yards (tackle by Robert McClain),3.900,4.240
3,9:31,3,2,ATL 13,0,21,Matthew Stafford pass complete short right to Ryan Broyles for 4 yards (tackle by Desmond Trufant),4.240,5.140
3,8:50,1,9,ATL 9,0,21,Joique Bell left guard for 5 yards (tackle by Dwight Lowery),5.140,5.340
3,8:07,2,4,ATL 4,0,21,Matthew Stafford pass incomplete short right intended for Joique Bell (defended by Tyson Jackson),5.340,4.490
3,8:02,3,4,ATL 4,0,21,Matthew Stafford pass incomplete short left intended for Theo Riddick (defended by Osi Umenyiora),4.490,3.030
3,7:59,4,4,ATL 4,3,21,Matt Prater 22 yard field goal good,3.030,3.000
3,7:59,,,DET 35,3,21,"Sam Martin kicks off 74 yards, returned by Devin Hester for 28 yards (tackle by Don Carey)",0.000,-0.150
3,7:49,1,10,ATL 19,3,21,"Matt Ryan sacked by Jason Jones for -7 yards. Matt Ryan fumbles (forced by Jason Jones), recovered by Ryan Schraeder at ATL-14",0.150,-1.110
3,7:08,2,15,ATL 14,3,21,Steven Jackson right guard for 1 yard (tackle by DeAndre Levy),-1.110,-1.760
3,6:35,3,14,ATL 15,3,21,Matt Ryan pass incomplete short right intended for Harry Douglas,-1.760,-2.440
3,6:30,4,14,ATL 15,3,21,"Matthew Bosher punts 29 yards, out of bounds",-2.440,-2.650
3,6:22,1,10,ATL 44,3,21,Matthew Stafford pass incomplete short right intended for Kellen Davis,2.650,2.110
3,6:17,2,10,ATL 44,3,21,"Matthew Stafford pass complete short left to Joique Bell for 11 yards (tackle by Paul Worrilow). Penalty on Garrett Reynolds: Offensive Holding, 10 yards (no play)",2.110,0.760
3,5:45,2,20,DET 46,3,21,"Matthew Stafford pass incomplete deep right intended for Corey Fuller. Penalty on Garrett Reynolds: Illegal Blindside Block, 15 yards (no play)",0.760,-1.260
3,5:33,2,35,DET 31,3,21,Matthew Stafford pass complete short right to Theo Riddick for 10 yards (tackle by Desmond Trufant),-1.260,-0.560
3,4:48,3,25,DET 41,9,21,"Matthew Stafford pass complete deep right to Golden Tate for 59 yards, touchdown",-0.560,7.000
3,4:48,,,ATL 2,10,21,Matt Prater kicks extra point good,0.000,0.000
3,4:48,,,DET 35,10,21,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
3,4:38,1,10,ATL 20,10,21,"Matt Ryan pass complete short right to Julio Jones for 10 yards (tackle by Darius Slay). Penalty on Ryan Schraeder: Illegal Use of Hands, 10 yards (no play)",0.280,-0.760
3,4:13,1,20,ATL 10,10,21,Matt Ryan pass complete short right to Jacquizz Rodgers for 6 yards (tackle by Cassius Vaughn),-0.760,-0.940
3,3:36,2,14,ATL 16,10,21,"Matt Ryan sacked by Ndamukong Suh for 0 yards. Penalty on Rashean Mathis: Illegal Contact, 5 yards (no play)",-0.940,0.340
3,2:55,1,10,ATL 21,10,21,Matt Ryan pass complete short right to Patrick DiMarco for no gain,0.340,-0.200
3,2:17,2,10,ATL 21,10,21,Steven Jackson right guard for 13 yards (tackle by Glover Quin),-0.200,1.200
3,1:38,1,10,ATL 34,10,21,Steven Jackson left tackle for 4 yards (tackle by Devin Taylor),1.200,1.200
3,0:59,2,6,ATL 38,10,21,"Matt Ryan pass complete short left to Roddy White for 9 yards (tackle by Rashean Mathis). Roddy White fumbles (forced by Rashean Mathis), recovered by Roddy White at ATL-47",1.200,2.060
3,0:22,1,10,ATL 47,10,21,Matt Ryan pass incomplete is intercepted by Cassius Vaughn at DET-48 and returned for 45 yards,2.060,-5.600
3,0:10,1,7,ATL 7,10,21,Theo Riddick right guard for 5 yards (tackle by Robert McClain),5.600,5.720
Quarter,Time,Down,ToGo,Location,DET,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,2,ATL 2,10,21,Joique Bell left guard for no gain (tackle by Kemal Ishmael),5.720,4.950
4,14:18,3,2,ATL 2,10,21,Matthew Stafford pass incomplete short left intended for Golden Tate,4.950,3.250
4,14:14,4,2,ATL 2,13,21,Matt Prater 20 yard field goal good,3.250,3.000
4,14:14,,,DET 35,13,21,"Sam Martin kicks off 65 yards, returned by Devin Hester for 16 yards (tackle by Danny Gorrer)",0.000,0.140
4,14:04,1,10,ATL 16,13,21,Jacquizz Rodgers right guard for 2 yards (tackle by James Ihedigbo),-0.140,-0.350
4,13:30,2,8,ATL 18,13,21,Matt Ryan pass complete deep middle to Roddy White for 18 yards (tackle by Glover Quin),-0.350,1.330
4,12:51,1,10,ATL 36,13,21,Matt Ryan pass incomplete short right intended for Harry Douglas,1.330,0.790
4,12:48,2,10,ATL 36,13,21,Devonta Freeman right guard for 2 yards (tackle by Ashlee Palmer),0.790,0.370
4,12:13,3,8,ATL 38,13,21,"Matt Ryan sacked by Ezekiel Ansah for -8 yards. Matt Ryan fumbles (forced by Ezekiel Ansah), recovered by Jake Matthews at ATL-28",0.370,-1.500
4,11:33,4,18,ATL 28,13,21,"Matthew Bosher punts 41 yards, fair catch by Jeremy Ross",-1.500,-1.000
4,11:25,1,10,DET 31,13,21,Joique Bell right guard for 5 yards (tackle by Kroy Biermann),1.000,1.140
4,10:45,2,5,DET 36,13,21,Matthew Stafford pass complete short right to Golden Tate for 9 yards (tackle by Dwight Lowery),1.140,1.930
4,10:04,1,10,DET 45,13,21,Matthew Stafford pass incomplete deep right intended for Golden Tate,1.930,1.380
4,9:56,2,10,DET 45,13,21,Matthew Stafford pass complete short right to Joique Bell for 11 yards (tackle by Paul Soliai),1.380,2.650
4,9:12,1,10,ATL 44,13,21,Joique Bell right end for 4 yards (tackle by Kroy Biermann),2.650,2.650
4,8:26,2,6,ATL 40,13,21,Matthew Stafford pass incomplete short left intended for George Winn (defended by Dwight Lowery),2.650,1.950
4,8:19,3,6,ATL 40,13,21,Matthew Stafford pass complete short middle to Corey Fuller for 13 yards (tackle by Desmond Trufant),1.950,3.780
4,7:34,1,10,ATL 27,13,21,Joique Bell right tackle for 3 yards (tackle by Paul Worrilow),3.780,3.640
4,6:51,2,7,ATL 24,13,21,Matthew Stafford pass complete short right to Theo Riddick for 6 yards (tackle by Robert McClain),3.640,3.840
4,6:17,3,1,ATL 18,13,21,Jed Collins left guard for 2 yards (tackle by Jonathan Massaquoi),3.840,4.510
4,5:34,1,10,ATL 16,13,21,Matthew Stafford pass complete short left to Joique Bell for 11 yards (tackle by Joplo Bartu),4.510,6.060
4,4:45,1,5,ATL 5,13,21,Joique Bell right guard for no gain (tackle by Kemal Ishmael),6.060,5.150
4,4:01,2,5,ATL 5,19,21,"Matthew Stafford pass complete short right to Theo Riddick for 5 yards, touchdown",5.150,7.000
4,4:01,,,,19,21,"Two Point Attempt: Matthew Stafford pass incomplete intended for Golden Tate, conversion fails",0.000,-1.000
4,4:01,,,DET 35,19,21,"Sam Martin kicks off 65 yards, touchback",0.000,-0.280
4,3:56,1,10,ATL 20,19,21,Steven Jackson left guard for 7 yards (tackle by DeAndre Levy),0.280,0.680
4,3:12,2,3,ATL 27,19,21,Steven Jackson right tackle for -2 yards (tackle by James Ihedigbo),0.680,0.680
4,3:04,2,3,ATL 27,19,21,Timeout #1 by Detroit Lions,0.680,-0.300
4,3:03,3,5,ATL 25,19,21,Matt Ryan pass complete short left to Harry Douglas for 13 yards (tackle by Glover Quin),-0.300,1.470
4,2:15,1,10,ATL 38,19,21,Steven Jackson right tackle for no gain (tackle by Ndamukong Suh),1.470,1.470
4,2:10,1,10,ATL 38,19,21,Timeout #2 by Detroit Lions,1.470,0.920
4,2:09,2,10,ATL 38,19,21,Matt Ryan pass complete short left to Julio Jones for 22 yards (tackle by Glover Quin),0.920,2.920
4,2:00,1,10,DET 40,19,21,Devonta Freeman right end for 1 yard (tackle by Tahir Whitehead),2.920,2.920
4,1:55,1,10,DET 40,19,21,Timeout #3 by Detroit Lions,2.920,2.510
4,1:55,2,9,DET 39,19,21,Steven Jackson up the middle for -1 yards (tackle by Tahir Whitehead). Penalty on Nathan Stupar: Offensive Holding (Declined),2.510,1.680
4,1:50,3,10,DET 40,19,21,Matt Ryan pass incomplete short left intended for Julio Jones,1.680,0.590
4,1:46,4,10,DET 40,19,21,"Matthew Bosher punts 33 yards, fair catch by Jeremy Ross",0.590,0.380
4,1:38,1,10,DET 7,19,21,Matthew Stafford pass complete deep middle to Golden Tate for 32 yards (tackle by Dwight Lowery),-0.380,1.530
4,1:12,1,10,DET 39,19,21,Matthew Stafford pass incomplete deep right intended for Ryan Broyles,1.530,0.990
4,1:07,2,10,DET 39,19,21,Matthew Stafford pass complete short middle to Theo Riddick for 20 yards (tackle by Kemal Ishmael),0.990,2.850
4,0:49,1,10,ATL 41,19,21,Matthew Stafford spiked the ball,2.850,2.850
4,0:49,1,10,ATL 41,19,21,Timeout #2 by Atlanta Falcons,2.850,2.310
4,0:49,2,10,ATL 41,19,21,Matthew Stafford pass complete short left to Jeremy Ross for 10 yards (tackle by Joplo Bartu),2.310,3.510
4,0:34,1,10,ATL 31,19,21,Matthew Stafford spiked the ball,3.510,2.970
4,0:34,2,10,ATL 31,19,21,Joique Bell right guard for 1 yard (tackle by Ra'Shede Hageman),2.970,2.970
4,0:25,2,10,ATL 31,19,21,Timeout #3 by Atlanta Falcons,2.970,2.410
4,0:24,3,9,ATL 30,19,21,"Joique Bell left guard for 1 yard (tackle by Joplo Bartu). Penalty on Paul Soliai: Defensive Holding, 5 yards",2.410,3.970
4,0:17,1,10,ATL 24,19,21,Matthew Stafford up the middle for -1 yards,3.970,3.300
4,0:05,2,11,ATL 25,19,21,Matthew Stafford spiked the ball,3.300,2.610
4,0:04,3,11,ATL 25,19,21,"Matt Prater 43 yard field goal no good. Penalty on Sam Martin: Delay of Game, 5 yards (no play)",2.610,1.950
4,0:04,3,16,ATL 30,22,21,Matt Prater 48 yard field goal good,1.950,3.000
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
