Quarter,Time,Tm,Detail,SEA,DET
1.0,8:24,Seahawks,Will Dissly 17 yard pass from Geno Smith (Jason Myers kick),7,0
,6:47,Lions,T.J. Hockenson 32 yard pass from Jared Goff (Dominik Eberle kick failed),7,6
,4:35,Seahawks,Geno Smith 8 yard rush (Jason Myers kick),14,6
2.0,13:07,Lions,Dominik Eberle 49 yard field goal,14,9
,9:08,Seahawks,Jason Myers 56 yard field goal,17,9
,5:04,Seahawks,Noah Fant 2 yard pass from Geno Smith (Jason Myers kick),24,9
,0:00,Lions,Jamaal Williams 1 yard rush (Dominik Eberle kick failed),24,15
3.0,14:49,Seahawks,Riq Woolen 40 yard interception return (Jason Myers kick),31,15
,6:30,Lions,Jamaal Williams 51 yard rush (Jared Goff run),31,23
,0:33,Seahawks,Rashaad Penny 36 yard rush (Jason Myers kick),38,23
4.0,14:23,Lions,Josh Reynolds 3 yard pass from Jared Goff (T.J. Hockenson pass from Jared Goff),38,31
,9:32,Seahawks,Jason Myers 25 yard field goal,41,31
,5:26,Lions,T.J. Hockenson 4 yard pass from Jared Goff (Dominik Eberle kick),41,38
,2:14,Seahawks,Rashaad Penny 41 yard rush (Jason Myers kick),48,38
,1:06,Lions,Justin Jackson 2 yard pass from Jared Goff (Dominik Eberle kick),48,45
