Unnamed: 0,SEA,DET
First Downs,27,27
Rush-Yds-TDs,33-235-3,25-145-2
Cmp-Att-Yd-TD-INT,23-30-320-2-0,27-40-384-4-1
Sacked-Yards,0-0,1-9
Net Pass Yards,320,375
Total Yards,555,520
Fumbles-Lost,1-1,1-1
Turnovers,1,2
Penalties-Yards,11-76,8-59
Third Down Conv.,9-12,4-10
Fourth Down Conv.,0-0,3-3
Time of Possession,33:06,26:54
