Quarter,Time,Down,ToGo,Location,ARI,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss, Cardinals to receive the opening kickoff.",,
1,15:00,,,SFO 30,0,0,"Jeff Reed kicks off 67 yards, returned by Andre Roberts for 19 yards (tackle by C.J. Spillman)",0.000,0.410
1,14:54,1,10,ARI 22,0,0,Tim Hightower left guard for 3 yards (tackle by Takeo Spikes),0.410,0.270
1,14:18,2,7,ARI 25,0,0,John Skelton pass complete short middle to Andre Roberts for 3 yards (tackle by NaVorro Bowman),0.270,-0.030
1,13:37,3,4,ARI 28,0,0,"Penalty on Deuce Lutui: False Start, 5 yards (no play)",-0.030,-0.690
1,13:11,3,9,ARI 23,0,0,John Skelton sacked by Manny Lawson and Shawntae Spencer for -12 yards,-0.690,-2.490
1,12:40,4,21,ARI 11,0,0,"Ben Graham punts 43 yards, muffed catch by Ted Ginn, recovered by Ted Ginn and returned for no gain",-2.490,-1.600
1,12:31,1,10,SFO 40,0,0,Brian Westbrook right guard for no gain (tackle by Alan Branch and Greg Toler),1.600,1.050
1,11:58,2,10,SFO 40,0,0,Brian Westbrook right guard for 5 yards (tackle by Clark Haggans),1.050,1.030
1,11:20,3,5,SFO 45,0,0,Alex Smith pass complete short right to Ted Ginn for 4 yards (tackle by Greg Toler),1.030,-0.130
1,10:39,4,1,SFO 49,0,0,"Andy Lee punts 39 yards, fair catch by Andre Roberts",-0.130,0.350
1,10:32,1,10,ARI 12,0,0,Tim Hightower left tackle for 2 yards (tackle by Justin Smith),-0.350,-0.610
1,9:53,2,8,ARI 14,0,0,Tim Hightower right end for 4 yards (tackle by Manny Lawson),-0.610,-0.720
1,9:25,3,4,ARI 18,0,0,John Skelton pass incomplete short left intended for Steve Breaston (defended by Shawntae Spencer),-0.720,-2.240
1,9:18,4,4,ARI 18,0,0,Ben Graham punts 38 yards,-2.240,-1.860
1,9:05,1,10,SFO 44,0,0,Alex Smith pass complete short left to Vernon Davis for 17 yards (tackle by Paris Lenon),1.860,2.980
1,8:37,1,10,ARI 39,0,0,Anthony Dixon right tackle for no gain (tackle by Reggie Walker),2.980,2.440
1,8:02,,,,0,0,Timeout #1 by Arizona Cardinals,0.000,2.440
1,8:02,2,10,ARI 39,0,0,Brian Westbrook right guard for 2 yards (tackle by Adrian Wilson and Calais Campbell),2.440,2.020
1,7:21,3,8,ARI 37,0,0,Alex Smith pass complete short right to Michael Crabtree for 3 yards (tackle by Adrian Wilson),2.020,1.070
1,6:35,4,5,ARI 34,0,0,Penalty on Ahmad Brooks: False Start (Declined),1.070,1.070
1,6:32,4,5,ARI 34,0,0,"Andy Lee punts 34 yards, touchback",1.070,-0.280
,,,,,,,"ARI challenged the touchback ruling, and the original play was overturned.",,
1,6:17,1,10,ARI 20,0,0,"Penalty on Jeremy Bridges: False Start, 5 yards (no play)",0.280,-0.310
1,6:17,1,15,ARI 15,0,0,John Skelton sacked by Justin Smith for -9 yards,-0.310,-1.800
1,5:47,2,24,ARI 6,0,0,Beanie Wells left tackle for 4 yards (tackle by Justin Smith),-1.800,-2.590
1,5:06,3,20,ARI 10,0,0,John Skelton pass incomplete short left intended for Jason Wright,-2.590,-2.490
1,5:00,4,20,ARI 10,0,0,"Ben Graham punts 37 yards. Penalty on Mike Leach: Offensive Holding, 10 yards",-2.490,-3.120
1,4:52,1,10,ARI 37,0,6,"Alex Smith pass complete deep right to Ted Ginn for 37 yards, touchdown",3.120,7.000
1,,,,ARI 2,0,7,Jeff Reed kicks extra point good,0.000,0.000
1,,,,SFO 30,0,7,"Jeff Reed kicks off 66 yards, returned by Andre Roberts for 20 yards (tackle by Tarell Brown)",0.000,0.540
1,4:38,1,10,ARI 24,0,7,John Skelton sacked by Dashon Goldson for -8 yards,0.540,-1.220
1,4:01,2,18,ARI 16,0,7,John Skelton pass complete short left to Steve Breaston for -1 yards (tackle by Nate Clements and Demetric Evans),-1.220,-2.250
1,3:19,3,19,ARI 15,0,7,John Skelton pass incomplete short right intended for Steve Breaston,-2.250,-2.440
1,3:11,4,19,ARI 15,0,7,Ben Graham punts 42 yards,-2.440,-1.800
1,3:04,1,10,SFO 43,0,7,Alex Smith sacked by O'Brien Schofield for -5 yards,1.800,0.580
1,2:24,2,15,SFO 38,0,7,Alex Smith pass complete short middle to Delanie Walker for 17 yards (tackle by Adrian Wilson and Kerry Rhodes),0.580,2.590
,,,,,,,"ARI challenged the runner was down by contact ruling, and the play was upheld.",,
1,1:44,1,10,ARI 45,0,7,Anthony Dixon left end for -1 yards (tackle by Daryl Washington),2.590,1.910
1,1:06,2,11,ARI 46,0,7,Alex Smith pass complete deep right to Josh Morgan for 32 yards (tackle by Dominique Rodgers-Cromartie),1.910,4.650
1,0:48,1,10,ARI 14,0,7,Alex Smith pass incomplete short left intended for Adam Snyder,4.650,4.000
1,0:43,2,10,ARI 14,0,7,Brian Westbrook right guard for 2 yards (tackle by Darnell Dockett),4.000,3.430
