Unnamed: 0,ARI,SFO
First Downs,19,16
Rush-Yds-TDs,22-78-0,25-100-2
Cmp-Att-Yd-TD-INT,30-53-242-1-2,15-29-276-2-0
Sacked-Yards,6-41,2-14
Net Pass Yards,201,262
Total Yards,279,362
Fumbles-Lost,2-0,1-0
Turnovers,2,0
Penalties-Yards,8-43,5-25
Third Down Conv.,9-20,2-11
Fourth Down Conv.,0-3,0-0
Time of Possession,32:48,27:12
