Quarter,Time,Down,ToGo,Location,NWE,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss and deferred, Broncos to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 66 yards, returned by Omar Bolden for 19 yards (tackle by Tavon Wilson)",0.000,-0.040
1,14:54,1,10,DEN 18,0,0,Ronnie Hillman middle for -2 yards (tackle by Rob Ninkovich),0.040,-0.800
1,14:26,2,12,DEN 16,0,0,Brock Osweiler pass complete short right to Emmanuel Sanders for 6 yards (tackle by Devin McCourty),-0.800,-0.660
1,13:42,3,6,DEN 22,0,0,Brock Osweiler pass incomplete deep left intended for Andre Caldwell,-0.660,-1.900
1,13:37,4,6,DEN 22,0,0,Britton Colquitt punts 25 yards,-1.900,-2.460
1,13:27,1,10,DEN 47,0,0,Tom Brady pass complete short left to Brandon LaFell for 4 yards (tackle by T.J. Ward),2.460,2.450
1,12:52,2,6,DEN 43,0,0,Tom Brady pass complete short right to Rob Gronkowski for 9 yards (tackle by Brandon Marshall),2.450,3.310
1,12:14,1,10,DEN 34,0,0,Tom Brady pass complete short left to Brandon LaFell for 11 yards (tackle by Chris Harris),3.310,4.040
1,11:32,1,10,DEN 23,6,0,"Tom Brady pass complete short left to Rob Gronkowski for 23 yards, touchdown",4.040,7.000
1,11:32,,,DEN 23,7,0,Stephen Gostkowski kicks extra point good,0.000,0.000
1,11:32,,,NWE 35,7,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
1,11:24,1,10,DEN 20,7,0,Brock Osweiler pass complete short right to Ronnie Hillman for no gain,0.280,-0.270
1,10:43,2,10,DEN 20,7,0,Ronnie Hillman right guard for -1 yards (tackle by Alan Branch),-0.270,-1.140
1,10:01,3,11,DEN 19,7,0,Brock Osweiler sacked by Rob Ninkovich for 0 yards,-1.140,-2.140
1,9:15,4,11,DEN 19,7,0,"Britton Colquitt punts 42 yards, returned by Chris Harper for 10 yards (tackle by Virgil Green)",-2.140,-2.190
1,9:04,1,10,NWE 49,7,0,Tom Brady pass incomplete short right intended for Scott Chandler (defended by Darian Stewart),2.190,1.650
1,8:59,2,10,NWE 49,7,0,Tom Brady pass incomplete short right intended for Scott Chandler (defended by Brandon Marshall),1.650,0.960
1,8:55,3,10,NWE 49,7,0,Tom Brady pass complete short left to Brandon Bolden for 2 yards (tackle by Bradley Roby),0.960,0.000
1,8:18,4,8,DEN 49,7,0,"Ryan Allen punts 37 yards, out of bounds",0.000,0.350
1,8:14,1,10,DEN 12,7,0,C.J. Anderson left guard for 9 yards (tackle by Patrick Chung),-0.350,0.420
1,7:40,2,1,DEN 21,7,0,C.J. Anderson left guard for 2 yards (tackle by Jerod Mayo),0.420,0.480
1,7:09,1,10,DEN 23,7,0,Brock Osweiler pass complete deep left to Emmanuel Sanders for 22 yards (tackle by Devin McCourty),0.480,1.930
1,6:31,1,10,DEN 45,7,0,Brock Osweiler pass complete short right to Cody Latimer for 7 yards (tackle by Malcolm Butler),1.930,2.330
1,5:55,2,3,NWE 48,7,0,C.J. Anderson right guard for 7 yards (tackle by Dont'a Hightower),2.330,2.850
1,5:24,1,10,NWE 41,7,0,Ronnie Hillman left tackle for 1 yard (tackle by Alan Branch),2.850,2.440
1,4:53,2,9,NWE 40,7,0,Brock Osweiler pass incomplete short left intended for Demaryius Thomas,2.440,1.750
1,4:48,3,9,NWE 40,7,0,Brock Osweiler pass complete short right to Bennie Fowler for 8 yards (tackle by Rashaan Melvin),1.750,1.310
1,4:11,4,1,NWE 32,7,0,Brock Osweiler middle for 3 yards (tackle by Sealver Siliga),1.310,3.640
1,3:41,1,10,NWE 29,7,0,C.J. Anderson right guard for 6 yards (tackle by Logan Ryan),3.640,3.910
1,3:09,2,4,NWE 23,7,0,C.J. Anderson right tackle for 2 yards (tackle by Logan Ryan and Jonathan Freeny),3.910,3.910
1,2:42,2,4,NWE 23,7,0,Timeout #1 by Denver Broncos,3.910,3.470
1,2:42,3,2,NWE 21,7,0,Brock Osweiler sacked by Jonathan Freeny for -13 yards,3.470,1.060
1,1:58,4,15,NWE 34,7,0,"Britton Colquitt punts 34 yards, touchback",1.060,-0.280
1,1:51,1,10,NWE 20,7,0,Tom Brady sacked by Derek Wolfe for -4 yards,0.280,-0.940
1,1:06,2,14,NWE 16,7,0,Tom Brady pass complete short left to Rob Gronkowski for 17 yards (tackle by Bradley Roby),-0.940,1.140
1,0:52,1,10,NWE 33,7,0,LeGarrette Blount middle for 2 yards (tackle by Brandon Marshall),1.140,0.860
1,0:23,2,8,NWE 35,7,0,Tom Brady pass complete short middle to Brandon Bolden for 14 yards (tackle by Danny Trevathan),0.860,2.190
Quarter,Time,Down,ToGo,Location,NWE,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 49,7,0,Tom Brady pass complete short left to Asante Cleveland for 1 yard (tackle by Shaquil Barrett),2.190,1.780
2,14:23,2,9,,7,0,"Tom Brady pass incomplete short middle intended for Keshawn Martin (defended by Aqib Talib). Penalty on Aqib Talib: Defensive Pass Interference (Offsetting), Penalty on Rob Gronkowski: Offensive Pass Interference (Offsetting) (no play)",1.780,1.780
2,14:19,2,9,,7,0,Tom Brady pass incomplete short middle intended for James White,1.780,1.090
2,14:13,3,9,,7,0,Tom Brady pass complete short middle to Keshawn Martin for 8 yards (tackle by Chris Harris),1.090,0.460
2,13:33,4,1,DEN 42,7,0,"Ryan Allen punts 42 yards, touchback. Penalty on Aqib Talib: Unnecessary Roughness, 10 yards",0.460,0.380
2,13:25,1,10,DEN 10,7,0,Brock Osweiler pass complete short middle to Vernon Davis for 6 yards (tackle by Logan Ryan),-0.380,-0.230
2,12:57,2,4,DEN 16,7,0,Ronnie Hillman right guard for no gain (tackle by Malcom Brown),-0.230,-0.720
2,12:20,3,4,DEN 16,7,0,Brock Osweiler pass incomplete short middle intended for Demaryius Thomas is intercepted by Chandler Jones at DEN-15,-0.720,-4.580
2,12:12,1,10,DEN 15,7,0,"Penalty on Von Miller: Neutral Zone Infraction, 5 yards (no play)",4.580,5.740
2,12:12,1,5,DEN 10,7,0,James White right guard for 1 yard (tackle by Derek Wolfe),5.740,5.030
2,11:29,2,4,DEN 9,7,0,Tom Brady pass complete short right to James White for no gain,5.030,4.220
2,10:45,3,4,DEN 9,13,0,"Tom Brady pass complete short right to Scott Chandler for 9 yards, touchdown",4.220,7.000
2,10:45,,,DEN 9,14,0,Stephen Gostkowski kicks extra point good,0.000,0.000
2,10:45,,,NWE 35,14,0,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,-0.280
2,10:40,1,10,DEN 20,14,0,C.J. Anderson right guard for 3 yards (tackle by Jonathan Freeny),0.280,0.140
2,10:10,2,7,DEN 23,14,0,Brock Osweiler pass incomplete deep right intended for Emmanuel Sanders (defended by Malcolm Butler),0.140,-0.560
2,10:04,3,7,DEN 23,14,0,Brock Osweiler pass complete short middle to C.J. Anderson for 5 yards (tackle by Rob Ninkovich),-0.560,-1.500
2,9:33,4,2,DEN 28,14,0,"Britton Colquitt punts 55 yards, returned by Chris Harper for 7 yards (tackle by Kayvon Webster)",-1.500,-0.540
2,9:21,1,10,NWE 24,14,0,Tom Brady pass incomplete short right intended for Rob Gronkowski,0.540,0.000
2,9:17,2,10,NWE 24,14,0,Tom Brady pass complete short left to James White for 5 yards (tackle by Shaquil Barrett),0.000,-0.030
2,8:33,3,5,NWE 29,14,0,Tom Brady pass complete short left to Rob Gronkowski for 3 yards (tackle by Darian Stewart),-0.030,-1.240
2,8:00,4,2,NWE 32,14,0,"Ryan Allen punts 53 yards, returned by Omar Bolden for 8 yards (tackle by Joe Cardona)",-1.240,-0.480
2,7:48,1,10,DEN 23,14,0,C.J. Anderson middle for -1 yards (tackle by Malcom Brown),0.480,-0.200
2,7:14,2,11,DEN 22,14,0,Brock Osweiler pass complete short middle to Owen Daniels for 12 yards (tackle by Jonathan Freeny and Rob Ninkovich),-0.200,1.200
2,6:36,1,10,DEN 34,14,0,C.J. Anderson left guard for 7 yards (tackle by Devin McCourty),1.200,1.600
2,6:07,2,3,DEN 41,14,0,C.J. Anderson right tackle for 6 yards (tackle by Jonathan Freeny and Patrick Chung),1.600,2.060
2,5:33,1,10,DEN 47,14,0,Ronnie Hillman left end for 1 yard (tackle by Jonathan Freeny),2.060,1.650
2,4:55,2,9,DEN 48,14,0,Brock Osweiler pass complete short middle to Emmanuel Sanders for 13 yards (tackle by Malcolm Butler),1.650,2.980
2,4:18,1,10,NWE 39,14,0,Ronnie Hillman right tackle for 3 yards (tackle by Alan Branch),2.980,2.850
2,3:40,2,7,NWE 36,14,0,Brock Osweiler pass complete short left to Owen Daniels for 8 yards (tackle by Dont'a Hightower and Patrick Chung),2.850,3.710
2,2:56,1,10,NWE 28,14,0,Ronnie Hillman left tackle for 9 yards (tackle by Jonathan Freeny),3.710,4.420
2,2:15,2,1,NWE 19,14,6,"Ronnie Hillman right end for 19 yards, touchdown",4.420,7.000
2,2:15,,,NWE 19,14,7,Brandon McManus kicks extra point good,0.000,0.000
2,2:15,,,DEN 35,14,7,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
2,2:07,1,10,NWE 20,14,7,LeGarrette Blount middle for 2 yards (tackle by Darian Stewart),0.280,0.000
2,2:00,2,8,NWE 22,14,7,LeGarrette Blount middle for 9 yards (tackle by Derek Wolfe),0.000,1.000
2,1:38,1,10,NWE 31,14,7,LeGarrette Blount middle for 5 yards (tackle by Shaquil Barrett),1.000,1.140
2,1:12,2,5,NWE 36,14,7,LeGarrette Blount right guard for 2 yards (tackle by Derek Wolfe and Von Miller),1.140,0.700
2,0:35,3,3,NWE 38,14,7,James White middle for no gain (tackle by Danny Trevathan),0.700,0.700
2,0:05,3,3,NWE 38,14,7,Timeout #2 by Denver Broncos,0.700,0.700
2,0:05,3,3,NWE 38,14,7,Timeout #1 by New England Patriots,0.700,-0.850
2,0:05,4,3,NWE 38,14,7,Tom Brady pass incomplete deep right intended for Brandon LaFell,-0.850,1.470
Quarter,Time,Down,ToGo,Location,NWE,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,DEN 35,14,7,"Brandon McManus kicks off 65 yards, touchback",0.000,0.280
3,15:00,1,10,NWE 20,14,7,LeGarrette Blount middle for 1 yard (tackle by Derek Wolfe),0.280,-0.130
3,14:17,2,9,NWE 21,14,7,"Tom Brady sacked by Vance Walker for -7 yards. Penalty on Von Miller: Roughing the Passer, 15 yards",-0.130,0.870
3,13:44,1,10,NWE 29,14,7,Tom Brady pass complete short middle to Rob Gronkowski for 22 yards (tackle by Darian Stewart),0.870,2.320
3,13:00,1,10,DEN 49,14,7,Tom Brady pass incomplete deep middle intended for Brandon LaFell (defended by Darian Stewart),2.320,2.320
3,12:51,1,10,DEN 49,14,7,Timeout #1 by New England Patriots,2.320,1.780
3,12:51,2,10,DEN 49,14,7,James White middle for no gain (tackle by David Bruton),1.780,1.090
3,12:09,3,10,DEN 49,14,7,Tom Brady pass incomplete deep middle intended for Brandon LaFell,1.090,0.000
3,12:01,4,10,DEN 49,14,7,"Ryan Allen punts 38 yards, out of bounds",0.000,0.370
3,11:52,1,10,DEN 11,14,7,Brock Osweiler pass incomplete short middle intended for Demaryius Thomas,-0.370,-0.780
3,11:48,2,10,DEN 11,14,7,Ronnie Hillman left guard for 15 yards (tackle by Devin McCourty),-0.780,0.670
3,11:13,1,10,DEN 26,14,7,Ronnie Hillman left guard for 2 yards (tackle by Malcom Brown),0.670,0.400
3,10:34,2,8,DEN 28,14,7,Brock Osweiler pass incomplete short left intended for Demaryius Thomas,0.400,-0.300
3,10:28,3,8,DEN 28,14,7,"Brock Osweiler pass complete short left to C.J. Anderson for 11 yards (tackle by Tavon Wilson). Penalty on Tavon Wilson: Face Mask (15 Yards), 15 yards",-0.300,2.520
3,10:07,1,10,NWE 46,14,7,Juwan Thompson middle for 3 yards (tackle by Jonathan Freeny),2.520,2.380
3,9:33,2,7,NWE 43,14,7,Brock Osweiler sacked by Malcom Brown for -3 yards,2.380,1.290
3,8:52,3,10,NWE 46,14,7,Brock Osweiler pass complete short middle to Emmanuel Sanders for 16 yards (tackle by Malcolm Butler),1.290,3.580
3,8:11,1,10,NWE 30,14,7,"Ronnie Hillman left tackle for -1 yards (tackle by Jerod Mayo). Penalty on Evan Mathis: Offensive Holding, 10 yards (no play)",3.580,2.920
3,7:48,1,20,NWE 40,14,7,Brock Osweiler pass complete short middle to Owen Daniels for 10 yards (tackle by Jonathan Freeny and Jerod Mayo),2.920,3.030
3,7:12,2,10,NWE 30,14,7,Brock Osweiler pass incomplete short left intended for Demaryius Thomas (defended by Logan Ryan),3.030,2.340
3,7:06,3,10,NWE 30,14,7,Brock Osweiler pass incomplete short middle intended for Demaryius Thomas,2.340,1.410
3,7:01,4,10,NWE 30,14,7,Brandon McManus 47 yard field goal no good,1.410,-1.470
3,6:57,1,10,NWE 38,14,7,Brandon Bolden middle for 9 yards (tackle by Malik Jackson and David Bruton),1.470,2.140
3,6:26,2,1,NWE 47,14,7,Brandon Bolden middle for -1 yards (tackle by Derek Wolfe),2.140,1.290
3,5:44,3,2,NWE 46,14,7,Brandon Bolden right guard for 1 yard (tackle by Derek Wolfe and Shane Ray),1.290,-0.260
3,5:21,4,1,NWE 47,14,7,Ryan Allen punts 50 yards,-0.260,0.380
3,5:10,1,10,DEN 3,14,7,"Penalty on Brock Osweiler: False Start, 1 yards (no play)",-0.380,-0.420
3,5:10,1,11,DEN 2,14,7,C.J. Anderson middle for no gain (tackle by Alan Branch),-0.420,-0.850
3,4:36,2,11,DEN 2,14,7,Brock Osweiler pass complete short middle to C.J. Anderson for 4 yards (tackle by Rob Ninkovich and Jonathan Freeny),-0.850,-1.070
3,3:56,3,7,DEN 6,14,7,Brock Osweiler pass incomplete short left intended for Demaryius Thomas (defended by Logan Ryan),-1.070,-2.490
3,3:51,4,7,DEN 6,14,7,Britton Colquitt punts 59 yards,-2.490,-1.270
3,3:40,1,10,NWE 35,14,7,LeGarrette Blount right guard for 3 yards (tackle by Von Miller),1.270,1.130
3,3:10,2,7,NWE 38,14,7,Tom Brady pass complete short left to Scott Chandler for 8 yards (tackle by Aqib Talib and Shaquil Barrett),1.130,1.990
3,2:33,1,10,NWE 46,14,7,LeGarrette Blount middle for 2 yards (tackle by Derek Wolfe),1.990,1.720
3,1:52,2,8,NWE 48,14,7,Tom Brady pass incomplete short left intended for Rob Gronkowski,1.720,1.030
3,1:47,3,8,NWE 48,14,7,Tom Brady pass incomplete deep right intended for Scott Chandler (defended by Aqib Talib),1.030,-0.190
3,1:40,4,8,NWE 48,14,7,"Ryan Allen punts 34 yards, out of bounds",-0.190,-0.040
3,1:33,1,10,DEN 18,14,7,Brock Osweiler pass complete short right to Vernon Davis for 4 yards (tackle by Jonathan Freeny),0.040,0.140
3,1:07,2,6,DEN 22,14,7,"Ronnie Hillman left guard for -2 yards (tackle by Chandler Jones). Ronnie Hillman fumbles (forced by Chandler Jones), recovered by Max Garcia at DEN-20",0.140,-0.910
3,0:23,3,8,DEN 20,14,7,Brock Osweiler pass incomplete short middle intended for Bennie Fowler (defended by Patrick Chung),-0.910,-2.030
3,0:18,4,8,DEN 20,14,7,"Britton Colquitt punts 49 yards, returned by Patrick Chung for 4 yards (tackle by David Bruton)",-2.030,-1.270
3,0:07,1,10,NWE 35,14,7,Tom Brady pass incomplete deep right intended for Scott Chandler,1.270,0.720
3,0:02,2,10,NWE 35,14,7,Brandon Bolden middle for 2 yards (tackle by Brandon Marshall and Aqib Talib),0.720,0.300
Quarter,Time,Down,ToGo,Location,NWE,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,3,8,NWE 37,20,7,"Tom Brady pass complete deep right to Brandon Bolden for 63 yards, touchdown",0.300,7.000
4,15:00,,,DEN 37,21,7,Stephen Gostkowski kicks extra point good,0.000,0.000
4,15:00,,,NWE 35,21,7,"Stephen Gostkowski kicks off 72 yards, returned by Omar Bolden for 27 yards (tackle by Darius Fleming)",0.000,-0.280
4,14:45,1,10,DEN 20,21,7,Brock Osweiler pass incomplete deep right intended for Emmanuel Sanders (defended by Devin McCourty),0.280,-0.270
4,14:36,2,10,DEN 20,21,7,Brock Osweiler pass incomplete short middle intended for Demaryius Thomas (defended by Alan Branch),-0.270,-0.960
4,14:31,3,10,DEN 20,21,7,Brock Osweiler pass incomplete short left intended for Demaryius Thomas (defended by Logan Ryan),-0.960,-2.030
4,14:26,4,10,DEN 20,21,7,"Britton Colquitt punts 45 yards, muffed catch by Chris Harper, recovered by Shaquil Barrett and returned for no gain",-2.030,3.180
4,14:15,1,10,NWE 36,21,7,Brock Osweiler pass incomplete short middle intended for Owen Daniels,3.180,2.640
4,14:15,2,10,NWE 36,21,7,C.J. Anderson middle for 4 yards (tackle by Dominique Easley),2.640,2.480
4,13:29,3,6,NWE 32,21,7,Brock Osweiler pass complete short middle to Emmanuel Sanders for 17 yards (tackle by Malcolm Butler),2.480,4.580
4,12:44,1,10,NWE 15,21,13,"C.J. Anderson left end for 15 yards, touchdown",4.580,7.000
4,12:44,,,NWE 15,21,14,Brandon McManus kicks extra point good,0.000,0.000
4,12:44,,,DEN 35,21,14,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
4,12:34,1,10,NWE 20,21,14,"Tom Brady pass incomplete deep right intended for Scott Chandler (defended by Brandon Marshall). Penalty on Sebastian Vollmer: Illegal Use of Hands, 10 yards (no play)",0.280,-0.760
4,12:27,1,20,NWE 10,21,14,Tom Brady pass complete short right to Scott Chandler for 9 yards (tackle by Danny Trevathan),-0.760,-0.460
4,11:45,2,11,NWE 19,21,14,Tom Brady pass incomplete deep right intended for Scott Chandler,-0.460,-1.140
4,11:40,3,11,NWE 19,21,14,"Tom Brady pass complete deep left to Keshawn Martin for 51 yards (tackle by Chris Harris). Penalty on Tre' Jackson: Offensive Holding, 9 yards (no play)",-1.140,-2.590
4,11:12,3,20,NWE 10,21,14,Tom Brady pass incomplete short left intended for James White,-2.590,-2.490
4,11:07,4,20,NWE 10,21,14,"Ryan Allen punts 52 yards, muffed catch by Omar Bolden, recovered by Omar Bolden and returned for no gain",-2.490,-1.930
4,10:58,1,10,DEN 45,21,14,Ronnie Hillman middle for 9 yards (tackle by Patrick Chung),1.930,2.600
4,10:28,2,1,NWE 46,21,14,Ronnie Hillman middle for 1 yard (tackle by Sealver Siliga),2.600,2.590
4,9:48,1,10,NWE 45,21,14,Brock Osweiler pass complete short right to Owen Daniels for 11 yards (tackle by Malcolm Butler),2.590,3.310
4,9:05,1,10,NWE 34,21,14,Ronnie Hillman right guard for 4 yards (tackle by Rob Ninkovich),3.310,3.310
4,8:25,2,6,NWE 30,21,14,Brock Osweiler pass complete short middle to C.J. Anderson for 20 yards (tackle by Patrick Chung),3.310,4.910
4,7:41,1,10,NWE 10,21,14,C.J. Anderson middle for 3 yards (tackle by Chandler Jones),4.910,4.760
