Unnamed: 0,TAM,ARI
First Downs,19,22
Rush-Yds-TDs,30-154-2,23-100-2
Cmp-Att-Yd-TD-INT,18-25-278-1-0,24-40-305-2-4
Sacked-Yards,2-25,1-9
Net Pass Yards,253,296
Total Yards,407,396
Fumbles-Lost,2-2,1-0
Turnovers,2,4
Penalties-Yards,9-80,3-12
Third Down Conv.,4-12,7-13
Fourth Down Conv.,1-1,1-2
Time of Possession,30:29,29:31
