Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
David Montgomery,DET,15,93,1,6,49,3.3,44,2.9,2,7.5
Jahmyr Gibbs,DET,12,45,1,4,44,3.7,1,0.1,0,
Amon-Ra St. Brown,DET,1,2,0,0,1,1.0,1,1.0,0,
Jameson Williams,DET,1,42,1,1,21,21.0,21,21.0,1,1.0
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Christian McCaffrey,SFO,20,90,2,6,39,2.0,51,2.6,2,10.0
Brock Purdy,SFO,5,48,0,3,27,5.4,21,4.2,1,5.0
Elijah Mitchell,SFO,4,7,1,1,4,1.0,3,0.8,0,
Deebo Samuel,SFO,3,7,0,1,3,1.0,4,1.3,0,
Kyle Juszczyk,SFO,1,3,0,0,1,1.0,2,2.0,0,
