Quarter,Time,Tm,Detail,DET,SFO
1.0,13:18,Lions,Jameson Williams 42 yard rush (Michael Badgley kick),7,0
,2:34,Lions,David Montgomery 1 yard rush (Michael Badgley kick),14,0
2.0,13:49,49ers,Christian McCaffrey 2 yard rush (Jake Moody kick),14,7
,5:54,Lions,Jahmyr Gibbs 15 yard rush (Michael Badgley kick),21,7
,0:07,Lions,Michael Badgley 21 yard field goal,24,7
3.0,11:02,49ers,Jake Moody 43 yard field goal,24,10
,5:17,49ers,Brandon Aiyuk 6 yard pass from Brock Purdy (Jake Moody kick),24,17
,3:02,49ers,Christian McCaffrey 1 yard rush (Jake Moody kick),24,24
4.0,9:52,49ers,Jake Moody 33 yard field goal,24,27
,3:02,49ers,Elijah Mitchell 3 yard rush (Jake Moody kick),24,34
,0:56,Lions,Jameson Williams 3 yard pass from Jared Goff (Michael Badgley kick),31,34
