Unnamed: 0,DET,SFO
First Downs,28,23
Rush-Yds-TDs,29-182-3,33-155-3
Cmp-Att-Yd-TD-INT,25-41-273-1-0,20-31-267-1-1
Sacked-Yards,2-13,2-9
Net Pass Yards,260,258
Total Yards,442,413
Fumbles-Lost,1-1,0-0
Turnovers,1,1
Penalties-Yards,2-15,3-20
Third Down Conv.,6-12,6-12
Fourth Down Conv.,1-3,0-1
Time of Possession,27:48,32:12
