Quarter,Time,Tm,Detail,LAR,SFO
1.0,1:54,49ers,George Kittle 8 yard pass from Jimmy Garoppolo (Robbie Gould kick),0,7
,0:49,49ers,Jimmie Ward 27 yard interception return (Robbie Gould kick),0,14
2.0,13:13,Rams,Tyler Higbee 10 yard pass from Matthew Stafford (Matt Gay kick),7,14
,5:24,49ers,Deebo Samuel 8 yard rush (Robbie Gould kick),7,21
3.0,4:38,49ers,Robbie Gould 50 yard field goal,7,24
4.0,11:07,49ers,Deebo Samuel 40 yard pass from Jimmy Garoppolo (Robbie Gould kick),7,31
,3:48,Rams,Matt Gay 37 yard field goal,10,31
