Unnamed: 0,LAR,SFO
First Downs,16,20
Rush-Yds-TDs,10-52-0,44-156-1
Cmp-Att-Yd-TD-INT,27-42-245-1-2,15-19-182-2-0
Sacked-Yards,2-19,1-3
Net Pass Yards,226,179
Total Yards,278,335
Fumbles-Lost,0-0,0-0
Turnovers,2,0
Penalties-Yards,5-35,9-53
Third Down Conv.,3-10,8-14
Fourth Down Conv.,0-2,1-2
Time of Possession,20:57,39:03
