Unnamed: 0,WAS,NYG
First Downs,20,18
Rush-Yds-TDs,33-182-1,14-37-0
Cmp-Att-Yd-TD-INT,20-32-178-1-0,30-47-316-1-2
Sacked-Yards,0-0,7-50
Net Pass Yards,178,266
Total Yards,360,303
Fumbles-Lost,1-1,0-0
Turnovers,1,2
Penalties-Yards,8-90,11-102
Third Down Conv.,6-15,2-14
Fourth Down Conv.,0-0,3-4
Time of Possession,33:38,26:22
