Unnamed: 0,TEN,IND
First Downs,21,10
Rush-Yds-TDs,19-66-0,34-205-1
Cmp-Att-Yd-TD-INT,38-56-331-1-2,11-17-82-1-0
Sacked-Yards,1-9,0-0
Net Pass Yards,322,82
Total Yards,388,287
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,7-70,4-25
Third Down Conv.,6-16,3-12
Fourth Down Conv.,0-1,0-0
Time of Possession,31:57,28:03
