Quarter,Time,Tm,Detail,TEN,IND
1.0,0:00,Colts,Adam Vinatieri 47 yard field goal,0,3
2.0,5:32,Titans,Rob Bironas 53 yard field goal,3,3
,0:21,Titans,Rob Bironas 21 yard field goal,6,3
3.0,9:36,Colts,Reggie Wayne 18 yard pass from Dan Orlovsky (Adam Vinatieri kick),6,10
,6:31,Colts,Jacob Lacey 32 yard interception return (Adam Vinatieri kick),6,17
4.0,12:53,Colts,Adam Vinatieri 40 yard field goal,6,20
,3:43,Titans,Nate Washington 7 yard pass from Jake Locker (Rob Bironas kick),13,20
,3:26,Colts,Donald Brown 80 yard rush (Adam Vinatieri kick),13,27
