Quarter,Time,Tm,Detail,LAR,ARI
1.0,11:18,Rams,Tyler Higbee 7 yard pass from Matthew Stafford (Lucas Havrisik kick),7,0
,4:50,Cardinals,Kyler Murray 2 yard rush (Clayton Tune run),7,8
2.0,9:57,Rams,Tyler Higbee 5 yard pass from Matthew Stafford (Lucas Havrisik kick),14,8
,0:59,Rams,Kyren Williams 15 yard pass from Matthew Stafford (Lucas Havrisik kick),21,8
3.0,7:33,Rams,Lucas Havrisik 24 yard field goal,24,8
4.0,12:41,Rams,Kyren Williams 3 yard pass from Matthew Stafford (Lucas Havrisik kick),31,8
,8:19,Rams,Royce Freeman 23 yard rush (Lucas Havrisik kick failed),37,8
,5:12,Cardinals,Greg Dortch 6 yard pass from Kyler Murray (pass failed),37,14
