Unnamed: 0,LAR,ARI
First Downs,25,19
Rush-Yds-TDs,33-228-1,15-73-1
Cmp-Att-Yd-TD-INT,25-33-229-4-1,27-45-256-1-0
Sacked-Yards,0-0,4-37
Net Pass Yards,229,219
Total Yards,457,292
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,5-23,5-34
Third Down Conv.,6-12,6-17
Fourth Down Conv.,2-2,2-3
Time of Possession,34:52,25:08
