Quarter,Time,Tm,Detail,TEN,IND
1.0,9:12,Titans,Derrick Henry 12 yard rush (Stephen Gostkowski kick),7,0
,2:34,Colts,Trey Burton 11 yard pass from Philip Rivers (Rodrigo Blankenship kick),7,7
,0:09,Titans,A.J. Brown 69 yard pass from Ryan Tannehill (Stephen Gostkowski kick),14,7
2.0,12:51,Colts,Jacoby Brissett 1 yard rush (Rodrigo Blankenship kick),14,14
,6:15,Titans,Derrick Henry 1 yard rush (Stephen Gostkowski kick),21,14
,1:41,Titans,Derrick Henry 11 yard rush (Stephen Gostkowski kick),28,14
,0:20,Titans,Ryan Tannehill 1 yard rush (Stephen Gostkowski kick),35,14
3.0,0:44,Titans,Stephen Gostkowski 49 yard field goal,38,14
4.0,13:23,Colts,Jacoby Brissett 1 yard rush (run failed),38,20
,2:34,Colts,T.Y. Hilton 5 yard pass from Philip Rivers (pass failed),38,26
,2:29,Titans,A.J. Brown 42 yard kickoff return (Stephen Gostkowski kick),45,26
