Unnamed: 0,TEN,IND
First Downs,28,27
Rush-Yds-TDs,45-229-4,21-56-2
Cmp-Att-Yd-TD-INT,13-22-221-1-0,24-44-295-2-1
Sacked-Yards,1-1,2-15
Net Pass Yards,220,280
Total Yards,449,336
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,9-63,6-50
Third Down Conv.,5-12,5-13
Fourth Down Conv.,1-1,1-2
Time of Possession,35:33,24:27
