Unnamed: 0,IND,DEN
First Downs,8,23
Rush-Yds-TDs,15-34-0,42-214-1
Cmp-Att-Yd-TD-INT,17-27-174-2-0,17-30-246-2-0
Sacked-Yards,1-8,1-7
Net Pass Yards,166,239
Total Yards,200,453
Fumbles-Lost,2-1,2-0
Turnovers,1,0
Penalties-Yards,4-25,2-25
Third Down Conv.,2-11,6-14
Fourth Down Conv.,0-0,0-0
Time of Possession,22:16,37:44
