Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,
1,15:00,,,DEN 30,0,0,"Jason Baker kicks off 65 yards, returned by Dominic Rhodes for 22 yards (tackle by Louis Green)",0.000,0.740
1,14:54,1,10,IND 27,0,0,Peyton Manning pass incomplete intended for Ben Hartsock (defended by John Lynch),0.740,0.200
1,14:48,2,10,IND 27,0,0,Edgerrin James right tackle for -2 yards (tackle by Al Wilson and D.J. Williams),0.200,-0.760
1,14:05,3,12,IND 25,0,0,Peyton Manning pass complete to Marvin Harrison for 6 yards (tackle by Champ Bailey),-0.760,-1.310
1,13:59,4,6,IND 31,0,0,"Hunter Smith punts 55 yards, returned by Triandos Luke for 3 yards (tackle by Gerome Sapp)",-1.310,0.060
1,13:48,1,10,DEN 17,0,0,Reuben Droughns left tackle for 2 yards (tackle by Josh Williams),-0.060,-0.250
1,13:09,2,8,DEN 19,0,0,Tatum Bell right tackle for 1 yard (tackle by Josh Williams),-0.250,-0.870
1,12:28,3,7,DEN 20,0,0,Jake Plummer pass incomplete (defended by Tarik Glenn),-0.870,-2.030
1,12:24,4,7,DEN 20,0,0,Jason Baker punts 36 yards,-2.030,-1.860
1,12:16,1,10,IND 44,0,0,"Penalty on Jim Sorgi: False Start, 5 yards (no play)",1.860,1.530
1,12:16,1,15,IND 39,0,0,Jim Sorgi pass complete to Reggie Wayne for 16 yards (tackle by Roc Alexander),1.530,2.590
1,11:43,1,10,DEN 45,0,0,Dominic Rhodes right guard for 2 yards (tackle by Trevor Pryce and D.J. Williams),2.590,2.310
1,11:01,2,8,DEN 43,0,0,Jim Sorgi pass complete to Marvin Harrison for 9 yards (tackle by Champ Bailey),2.310,3.310
1,10:25,1,10,DEN 34,0,0,Jim Sorgi pass complete to Dallas Clark for 4 yards (tackle by Al Wilson),3.310,3.310
1,9:49,2,6,DEN 30,0,0,Dominic Rhodes right end for 10 yards (tackle by Champ Bailey),3.310,4.240
1,9:21,1,10,DEN 20,0,0,Jim Sorgi pass complete to Troy Walters for 5 yards (tackle by D.J. Williams),4.240,4.450
1,8:43,2,5,DEN 15,0,0,Jim Sorgi pass complete to Reggie Wayne for 3 yards (tackle by Kelly Herndon),4.450,4.340
1,8:01,3,2,DEN 12,0,0,Jim Sorgi pass complete to Marvin Harrison for 5 yards (tackle by John Lynch),4.340,5.600
1,7:21,1,7,DEN 7,6,0,"Jim Sorgi pass complete to Marvin Harrison for 7 yards, touchdown",5.600,7.000
1,,,,DEN 2,7,0,Mike Vanderjagt kicks extra point good,0.000,0.000
1,,,,IND 30,7,0,"Martin Gramatica kicks off 65 yards, returned by Triandos Luke for 20 yards (tackle by Bob Sanders)",0.000,0.610
1,7:12,1,10,DEN 25,7,0,Jake Plummer pass complete to Rod Smith for 9 yards (tackle by Bob Sanders),0.610,1.280
1,6:50,2,1,DEN 34,7,0,"Jake Plummer for 2 yards. Jake Plummer fumbles, recovered by Jake Plummer at DEN-34",1.280,1.330
1,6:12,1,10,DEN 36,7,0,Jake Plummer pass incomplete intended for Ashley Lelie (defended by Von Hutchins),1.330,0.790
1,6:06,2,10,DEN 36,7,0,Jake Plummer pass complete to Rod Smith for 17 yards (tackle by Mike Doss),0.790,2.460
1,5:26,1,10,IND 47,7,0,Reuben Droughns right guard for -3 yards (tackle by Raheem Brock),2.460,1.510
1,4:45,2,13,DEN 50,7,0,Jake Plummer pass complete to Rod Smith for 12 yards,1.510,2.410
1,4:23,,,,7,0,Timeout #1 by Denver Broncos,0.000,2.410
1,4:23,3,1,IND 38,7,6,"Jake Plummer pass complete to Ashley Lelie for 38 yards, touchdown",2.410,7.000
1,,,,IND 2,7,7,Jason Elam kicks extra point good,0.000,0.000
1,,,,DEN 30,7,7,"Jason Baker kicks off 74 yards, returned by Dominic Rhodes for 26 yards (tackle by Nick Ferguson). Penalty on Ben Hartsock: Offensive Holding, 10 yards",0.000,-0.350
1,4:08,1,10,IND 12,7,7,Dominic Rhodes right tackle for 2 yards (tackle by Monsanto Pope and John Lynch),-0.350,-0.610
1,3:33,2,8,IND 14,7,7,"Jim Sorgi pass incomplete intended for Dallas Clark (defended by John Lynch). Penalty on John Lynch: Personal Foul, 15 yards (no play)",-0.610,0.870
,,,,,,,"IND challenged the ruling, and the original play was overturned.",,
1,3:23,1,10,IND 29,7,7,Jim Sorgi pass incomplete intended for Marvin Harrison,0.870,0.330
1,3:20,2,10,IND 29,7,7,Dominic Rhodes right end for 5 yards (tackle by Champ Bailey),0.330,0.300
1,2:39,3,5,IND 34,7,7,Jim Sorgi sacked by Reggie Hayward for -8 yards,0.300,-1.630
1,2:09,4,13,IND 26,7,7,Hunter Smith punts 57 yards,-1.630,0.060
1,1:57,1,10,DEN 17,7,7,Tatum Bell right tackle for 8 yards (tackle by David Thornton),-0.060,0.620
1,1:16,2,2,DEN 25,7,7,Tatum Bell right guard for no gain (tackle by Montae Reagor),0.620,-0.240
1,0:35,3,2,DEN 25,7,7,Jake Plummer pass complete to Rod Smith for 8 yards (tackle by Von Hutchins),-0.240,1.140
Quarter,Time,Down,ToGo,Location,IND,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,DEN 33,7,7,Jake Plummer pass complete to Tatum Bell for 15 yards (tackle by Brad Scioli),1.140,2.130
