Quarter,Time,Tm,Detail,IND,TEN
1.0,6:34,Titans,Chester Rogers 6 yard pass from Ryan Tannehill (Randy Bullock kick),0,7
2.0,10:19,Colts,Nyheim Hines 9 yard rush (Rodrigo Blankenship kick),7,7
,5:56,Titans,Nick Westbrook-Ikhine 18 yard pass from Ryan Tannehill (Randy Bullock kick),7,14
,0:00,Colts,Rodrigo Blankenship 43 yard field goal,10,14
3.0,6:26,Colts,Rodrigo Blankenship 28 yard field goal,13,14
4.0,12:56,Titans,Jeremy McNichols 10 yard pass from Ryan Tannehill (Derrick Henry run),13,22
,10:20,Colts,Rodrigo Blankenship 24 yard field goal,16,22
,2:58,Titans,Randy Bullock 32 yard field goal,16,25
