Unnamed: 0,CIN,BUF
First Downs,21,22
Rush-Yds-TDs,28-112-1,23-112-2
Cmp-Att-Yd-TD-INT,22-33-243-3-0,28-42-263-1-1
Sacked-Yards,0-0,2-7
Net Pass Yards,243,256
Total Yards,355,368
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,3-20,8-93
Third Down Conv.,7-12,5-13
Fourth Down Conv.,0-0,1-2
Time of Possession,30:00,30:00
