Quarter,Time,Tm,Detail,CIN,BUF
1.0,9:21,Bills,EJ Manuel 2 yard rush (Dan Carpenter kick),0,7
,3:26,Bengals,Jeremy Hill 13 yard pass from Andy Dalton (Mike Nugent kick),7,7
2.0,10:19,Bengals,Giovani Bernard 17 yard rush (Mike Nugent kick),14,7
,7:12,Bengals,Mike Nugent 47 yard field goal,17,7
,0:17,Bills,Sammy Watkins 22 yard pass from EJ Manuel (Dan Carpenter kick),17,14
3.0,10:55,Bengals,Marvin Jones 10 yard pass from Andy Dalton (Mike Nugent kick),24,14
,1:42,Bengals,Tyler Eifert 4 yard pass from Andy Dalton (Mike Nugent kick),31,14
4.0,10:40,Bengals,Mike Nugent 39 yard field goal,34,14
,6:50,Bills,LeSean McCoy 4 yard rush (Dan Carpenter kick),34,21
