Quarter,Time,Down,ToGo,Location,CIN,BUF,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Bills to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Mike Nugent kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,BUF 20,0,0,LeSean McCoy right tackle for 33 yards (tackle by Vincent Rey),0.280,2.460
1,14:24,1,10,CIN 47,0,0,EJ Manuel pass complete deep left to Charles Clay for 19 yards (tackle by George Iloka),2.460,3.710
,,,,,,,"BUF challenged the incomplete pass ruling, and the original play was overturned.",,
1,14:12,1,10,CIN 28,0,0,LeSean McCoy right tackle for 4 yards (tackle by Geno Atkins),3.710,3.710
1,13:35,2,6,CIN 24,0,0,LeSean McCoy middle for 3 yards (tackle by Vincent Rey and Domata Peko),3.710,3.400
1,12:53,3,3,CIN 21,0,0,EJ Manuel pass complete short right to Charles Clay for 5 yards (tackle by Reggie Nelson and Emmanuel Lamur),3.400,4.510
1,12:12,1,10,CIN 16,0,0,EJ Manuel pass complete short right to Robert Woods for 8 yards (tackle by Dre Kirkpatrick),4.510,5.350
1,11:38,2,2,CIN 8,0,0,LeSean McCoy middle for 1 yard (tackle by Michael Johnson and Reggie Nelson),5.350,4.850
1,11:00,3,1,CIN 7,0,0,EJ Manuel middle for 2 yards (tackle by Rey Maualuga),4.850,6.060
1,10:23,1,5,CIN 5,0,0,LeSean McCoy right guard for 4 yards (tackle by Reggie Nelson and Domata Peko),6.060,5.910
1,9:58,2,1,CIN 1,0,0,LeSean McCoy middle for -1 yards (tackle by Reggie Nelson),5.910,4.950
1,9:24,3,2,CIN 2,0,6,"EJ Manuel right end for 2 yards, touchdown",4.950,7.000
1,9:24,,,CIN 2,0,7,Dan Carpenter kicks extra point good,0.000,0.000
1,9:24,,,BUF 35,0,7,"Dan Carpenter kicks off 65 yards, returned by Adam Jones for 49 yards (tackle by Dan Carpenter)",0.000,-2.190
1,9:12,1,10,CIN 49,0,7,Andy Dalton pass complete short right to A.J. Green for 5 yards (tackle by Ronald Darby and Duke Williams),2.190,2.320
1,8:33,2,5,BUF 46,0,7,Jeremy Hill middle for 2 yards (tackle by Marcell Dareus),2.320,1.880
1,7:55,3,3,BUF 44,0,7,Andy Dalton pass incomplete short right intended for Giovani Bernard,1.880,0.330
1,7:52,4,3,BUF 44,0,7,"Kevin Huber punts 33 yards, fair catch by Denarius Moore",0.330,0.370
1,7:43,1,10,BUF 11,0,7,EJ Manuel pass complete short right to Charles Clay for 1 yard (tackle by Vincent Rey and Wallace Gilberry),-0.370,-0.710
1,6:56,2,9,BUF 12,0,7,LeSean McCoy left tackle for 6 yards (tackle by Adam Jones),-0.710,-0.600
1,6:27,3,3,BUF 18,0,7,EJ Manuel pass incomplete deep right intended for Sammy Watkins (defended by Dre Kirkpatrick),-0.600,-2.240
1,6:22,4,3,BUF 18,0,7,"Colton Schmidt punts 52 yards, returned by Adam Jones for 6 yards (tackle by Ron Brooks). Penalty on Ron Brooks: Taunting, 15 yards",-2.240,-2.320
1,6:09,1,10,BUF 49,0,7,Andy Dalton pass incomplete short left intended for Jake Fisher,2.320,1.780
1,6:04,2,10,BUF 49,0,7,Andy Dalton pass complete short middle to Tyler Eifert for 15 yards (tackle by Corey Graham),1.780,3.310
1,5:26,1,10,BUF 34,0,7,"Jeremy Hill right guard for 1 yard (tackle by Jerry Hughes and Manny Lawson). Penalty on Kyle Williams: Illegal Use of Hands, 5 yards",3.310,3.710
1,4:59,1,10,BUF 28,0,7,Andy Dalton pass incomplete deep left intended for A.J. Green,3.710,3.170
1,4:54,2,10,BUF 28,0,7,Jeremy Hill right end for 6 yards (tackle by Ronald Darby),3.170,3.270
1,4:14,3,4,BUF 22,0,7,Andy Dalton pass complete short left to Marvin Jones for 9 yards (tackle by Stephon Gilmore and Corey Graham),3.270,4.710
