Unnamed: 0,SDG,GNB
First Downs,25,20
Rush-Yds-TDs,28-73-0,13-42-1
Cmp-Att-Yd-TD-INT,27-36-306-3-1,28-45-369-3-0
Sacked-Yards,2-15,2-6
Net Pass Yards,291,363
Total Yards,364,405
Fumbles-Lost,1-0,0-0
Turnovers,1,0
Penalties-Yards,8-70,5-38
Third Down Conv.,5-11,5-11
Fourth Down Conv.,0-0,0-2
Time of Possession,32:15,27:45
