Quarter,Time,Down,ToGo,Location,SDG,GNB,Detail,EPB,EPA
1,,,,SDG 30,7,0,"Nate Kaeding kicks off 66 yards, returned by Tramon Williams for 9 yards (tackle by Antonio Cromartie)",0.000,-0.320
1,7:04,1,10,GNB 13,7,0,Ryan Grant up the middle for 2 yards (tackle by Jamal Williams),-0.320,-0.570
1,6:19,2,8,GNB 15,7,0,Brett Favre pass complete short right to Donald Lee for 6 yards (tackle by Stephen Cooper),-0.570,-0.470
1,5:37,3,2,GNB 21,7,0,"Brett Favre pass incomplete deep left intended for Donald Driver. Penalty on Marlon McCree: Unnecessary Roughness, 15 yards (no play)",-0.470,1.330
1,5:32,1,10,GNB 36,7,0,Brett Favre pass complete short right to James Jones for 8 yards (tackle by Quentin Jammer),1.330,1.870
1,4:54,2,2,GNB 44,7,0,Brett Favre pass complete deep left to James Jones for 26 yards (tackle by Drayton Florence),1.870,3.580
1,4:25,1,10,SDG 30,7,0,Brett Favre pass complete short right to Brandon Jackson for 16 yards (tackle by Quentin Jammer),3.580,4.650
1,3:47,1,10,SDG 14,7,0,Brett Favre pass incomplete short left intended for Greg Jennings (defended by Antonio Cromartie),4.650,4.000
1,3:37,2,10,SDG 14,7,0,Brett Favre pass complete short right to Brandon Jackson for 4 yards (tackle by Brandon McKinney),4.000,3.820
1,2:50,3,6,SDG 10,7,0,Brett Favre pass incomplete short right intended for Bubba Franks,3.820,2.790
1,2:44,4,6,SDG 10,7,3,Mason Crosby 28 yard field goal good,2.790,3.000
1,,,,GNB 30,7,3,"Mason Crosby kicks off 62 yards, returned by Darren Sproles for 12 yards (tackle by Korey Hall). Penalty on Tim Dobbins: Illegal Block Above the Waist, 10 yards",0.000,-0.380
1,2:35,1,10,SDG 10,7,3,LaDainian Tomlinson for -2 yards (tackle by Al Harris),-0.380,-0.930
1,2:06,2,12,SDG 8,7,3,Philip Rivers pass complete short left to Lorenzo Neal for 4 yards (tackle by Al Harris),-0.930,-1.190
1,1:34,3,8,SDG 12,7,3,"Penalty on Philip Rivers: Delay of Game, 5 yards (no play)",-1.190,-1.770
1,1:18,3,13,SDG 7,7,3,LaDainian Tomlinson left guard for 1 yard (tackle by A.J. Hawk),-1.770,-2.490
1,0:44,4,12,SDG 8,7,3,"Mike Scifres punts 49 yards, returned by Charles Woodson for 8 yards (tackle by Antonio Cromartie)",-2.490,-2.320
1,0:32,1,10,SDG 49,7,3,"Brett Favre pass complete short left to Brandon Jackson for 1 yard (tackle by Antonio Cromartie). Penalty on Antonio Cromartie: Illegal Use of Hands, 5 yards (no play)",2.320,2.650
1,0:01,1,10,SDG 44,7,3,Brandon Jackson left tackle for 7 yards (tackle by Shaun Phillips and Brandon McKinney),2.650,3.060
Quarter,Time,Down,ToGo,Location,SDG,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,3,SDG 37,7,3,Brett Favre pass incomplete short right intended for Greg Jennings,3.060,2.350
2,14:57,3,3,SDG 37,7,3,Brett Favre pass complete short middle to Donald Driver for 16 yards (tackle by Shaun Phillips),2.350,4.170
2,14:11,1,10,SDG 21,7,3,Brett Favre pass complete short right to Ryan Grant for -3 yards (tackle by Shaun Phillips),4.170,3.220
2,13:26,2,13,SDG 24,7,3,Brett Favre pass complete short right to Donald Lee for 10 yards (tackle by Eric Weddle),3.220,4.020
2,12:38,,,,7,3,Timeout #1 by Green Bay Packers,0.000,4.020
2,12:38,3,3,SDG 14,7,3,Brett Favre pass complete short middle to DeShawn Wynn for 9 yards (tackle by Clinton Hart),4.020,6.060
2,11:58,1,5,SDG 5,7,9,"Brett Favre pass complete short left to Donald Driver for 5 yards, touchdown",6.060,7.000
2,,,,SDG 2,7,10,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 30,7,10,"Mason Crosby kicks off 70 yards, touchback",0.000,0.280
2,11:53,1,10,SDG 20,7,10,Philip Rivers pass complete short right to Antonio Gates for 2 yards (tackle by Atari Bigby),0.280,0.000
2,11:12,2,8,SDG 22,7,10,Philip Rivers pass complete short middle to Antonio Gates for 7 yards (tackle by Atari Bigby),0.000,0.230
2,10:31,3,1,SDG 29,7,10,LaDainian Tomlinson left tackle for 5 yards (tackle by Kabeer Gbaja-Biamila),0.230,1.200
2,9:53,1,10,SDG 34,7,10,LaDainian Tomlinson left guard for no gain (tackle by Nick Barnett),1.200,0.660
2,9:13,2,10,SDG 34,7,10,Philip Rivers pass complete short left to Antonio Gates for 26 yards (tackle by Atari Bigby),0.660,2.920
2,8:37,1,10,GNB 40,7,10,LaDainian Tomlinson right end for -5 yards (tackle by Al Harris),2.920,1.700
2,8:02,2,15,GNB 45,7,10,Philip Rivers sacked by Kabeer Gbaja-Biamila for -8 yards,1.700,-0.030
2,7:29,,,,7,10,Timeout #1 by San Diego Chargers,0.000,-0.030
2,7:29,3,23,SDG 47,7,10,Philip Rivers pass complete short middle to Antonio Gates for 14 yards (tackle by Charles Woodson),-0.030,0.660
2,6:52,4,9,GNB 39,7,10,"Mike Scifres punts 25 yards, returned by Charles Woodson for 7 yards (tackle by Marques Harris)",0.660,-0.340
2,6:44,1,10,GNB 21,7,10,Brett Favre pass complete short left to Greg Jennings for 6 yards (tackle by Antonio Cromartie),0.340,0.610
2,6:13,2,4,GNB 27,7,10,Brandon Jackson right guard for 3 yards (tackle by Clinton Hart),0.610,0.300
2,5:31,3,1,GNB 30,7,10,Brett Favre left guard for 2 yards (tackle by Stephen Cooper),0.300,1.070
2,4:45,1,10,GNB 32,7,10,Brett Favre pass incomplete deep right intended for Donald Driver,1.070,0.530
2,4:39,2,10,GNB 32,7,10,Brett Favre pass incomplete short right intended for Ruvell Martin (defended by Quentin Jammer),0.530,-0.160
2,4:36,3,10,GNB 32,7,10,Brett Favre pass complete short middle to Donald Driver for 46 yards (tackle by Marlon McCree),-0.160,4.110
2,4:07,1,10,SDG 22,7,10,Brett Favre pass complete short left to Greg Jennings for 9 yards (tackle by Marlon McCree),4.110,5.060
2,3:38,2,1,SDG 13,7,10,Brandon Jackson up the middle for 8 yards (tackle by Clinton Hart),5.060,6.060
2,2:57,1,5,SDG 5,7,10,Brett Favre pass incomplete short left intended for James Jones,6.060,5.150
,,,,,,,"GNB challenged the fumble ruling, and the original play was overturned.",,
2,2:52,2,5,SDG 5,7,16,"Brett Favre pass complete short middle to Bubba Franks for 5 yards, touchdown",5.150,7.000
2,,,,SDG 2,7,17,Mason Crosby kicks extra point good,0.000,0.000
2,,,,GNB 30,7,17,"Mason Crosby kicks off 77 yards, touchback",0.000,0.280
2,2:48,1,10,SDG 20,7,17,LaDainian Tomlinson left end for 3 yards (tackle by Nick Barnett),0.280,0.140
2,2:14,2,7,SDG 23,7,17,Philip Rivers pass complete short right to Antonio Gates for 15 yards,0.140,1.470
2,2:00,1,10,SDG 38,7,17,Philip Rivers pass complete short left to Vincent Jackson for 12 yards (tackle by Al Harris),1.470,2.260
2,1:32,1,10,,7,17,Philip Rivers pass complete short right to Craig Davis for 12 yards (tackle by Charles Woodson),2.260,3.050
2,1:25,1,10,GNB 38,7,17,Philip Rivers pass complete short middle to Antonio Gates for 6 yards (tackle by Nick Collins),3.050,3.320
2,1:00,2,4,GNB 32,7,17,Philip Rivers pass complete short left to Antonio Gates for 6 yards,3.320,3.840
2,0:55,,,,7,17,Timeout #2 by San Diego Chargers,0.000,3.840
2,0:55,1,10,GNB 26,7,17,"Philip Rivers pass complete short middle to Antonio Gates for 7 yards (tackle by Nick Barnett). Penalty on Nick Barnett: Face Mask (15 Yards), 10 yards",3.840,5.140
2,0:48,1,9,GNB 9,7,17,Philip Rivers pass incomplete short left intended for Antonio Gates,5.140,4.380
2,0:41,2,9,GNB 9,13,17,"Philip Rivers pass complete short left to Craig Davis for 9 yards, touchdown",4.380,7.000
2,,,,GNB 2,14,17,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,14,17,"Nate Kaeding kicks off 52 yards, returned by Tramon Williams for 9 yards (tackle by Carlos Polk)",0.000,0.740
2,0:26,1,10,GNB 27,14,17,Brett Favre pass incomplete short middle intended for DeShawn Wynn,0.740,0.200
2,0:22,2,10,GNB 27,14,17,Brett Favre pass incomplete short right intended for DeShawn Wynn,0.200,-0.490
2,0:18,3,10,GNB 27,14,17,DeShawn Wynn up the middle for 5 yards (tackle by Igor Olshansky),-0.490,-1.240
2,0:12,,,,14,17,Timeout #3 by San Diego Chargers,0.000,-1.240
2,0:12,4,5,GNB 32,14,17,Jon Ryan punts 54 yards,-1.240,0.280
2,0:04,1,10,SDG 14,14,17,Philip Rivers kneels for -1 yards,-0.280,-0.850
Quarter,Time,Down,ToGo,Location,SDG,GNB,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,GNB 30,14,17,"Mason Crosby kicks off 79 yards, touchback",0.000,0.280
3,15:00,1,10,SDG 20,14,17,LaDainian Tomlinson right guard for -3 yards (tackle by Aaron Kampman and Nick Barnett),0.280,-0.790
3,14:23,2,13,SDG 17,14,17,Philip Rivers pass incomplete short left intended for Craig Davis (defended by Cullen Jenkins),-0.790,-1.510
3,14:20,3,13,SDG 17,14,17,Philip Rivers pass complete deep right to Malcom Floyd for 25 yards (tackle by Jarrett Bush),-1.510,1.730
3,13:37,1,10,SDG 42,14,17,LaDainian Tomlinson left end for 4 yards (tackle by Charles Woodson and Atari Bigby),1.730,1.730
3,13:03,2,6,SDG 46,14,17,LaDainian Tomlinson left end for 3 yards (tackle by Charles Woodson),1.730,1.420
3,12:29,3,3,SDG 49,14,17,Philip Rivers pass complete short left to Antonio Gates for 4 yards (tackle by Atari Bigby),1.420,2.460
3,11:45,1,10,GNB 47,14,17,Philip Rivers pass incomplete short left intended for LaDainian Tomlinson,2.460,1.910
3,11:41,2,10,GNB 47,14,17,LaDainian Tomlinson right tackle for 11 yards (tackle by Atari Bigby),1.910,3.180
3,10:57,1,10,GNB 36,14,17,Philip Rivers pass complete short middle to Craig Davis for 4 yards (tackle by A.J. Hawk),3.180,3.180
3,10:18,2,6,GNB 32,14,17,Michael Turner up the middle for 9 yards (tackle by Nick Collins),3.180,4.040
3,9:37,1,10,GNB 23,14,17,LaDainian Tomlinson left tackle for 2 yards (tackle by Brady Poppinga),4.040,3.770
3,9:10,2,8,GNB 21,20,17,"Philip Rivers pass complete short right to LaDainian Tomlinson for 21 yards, touchdown",3.770,7.000
3,,,,GNB 2,21,17,Nate Kaeding kicks extra point good,0.000,0.000
3,,,,SDG 30,21,17,"Nate Kaeding kicks off 66 yards, returned by Tramon Williams for 17 yards (tackle by Cletis Gordon). Penalty on Cletis Gordon: Face Mask (15 Yards), 15 yards",0.000,1.330
3,8:55,1,10,GNB 36,21,17,Brandon Jackson right guard for 2 yards (tackle by Jamal Williams),1.330,1.060
3,8:17,2,8,GNB 38,21,17,Brett Favre pass complete short right to Brandon Jackson for 2 yards (tackle by Jacques Cesaire),1.060,0.630
3,7:33,3,6,GNB 40,21,17,"Penalty on Stephen Cooper: Neutral Zone Infraction, 5 yards (no play)",0.630,1.290
3,7:08,3,1,GNB 45,21,17,Brett Favre pass incomplete short right intended for Donald Lee,1.290,-0.390
3,7:02,4,1,GNB 45,21,17,Jon Ryan punts 44 yards,-0.390,0.370
3,6:52,1,10,SDG 11,21,17,LaDainian Tomlinson left guard for no gain (tackle by Nick Barnett),-0.370,-0.780
3,6:15,2,10,SDG 11,21,17,Philip Rivers pass complete deep left to Vincent Jackson for 19 yards (tackle by Al Harris),-0.780,0.940
3,5:46,1,10,SDG 30,21,17,LaDainian Tomlinson left tackle for 4 yards (tackle by Atari Bigby),0.940,0.930
3,5:09,2,6,SDG 34,21,17,LaDainian Tomlinson left guard for 1 yard (tackle by Brady Poppinga),0.930,0.370
3,4:26,3,5,SDG 35,21,17,Philip Rivers pass incomplete short left intended for Antonio Gates,0.370,-1.040
3,4:22,4,5,SDG 35,21,17,Mike Scifres punts 53 yards,-1.040,0.350
3,4:09,1,10,GNB 12,21,17,Brett Favre pass complete deep middle to Donald Driver for 23 yards (tackle by Clinton Hart),-0.350,1.270
3,3:26,1,10,GNB 35,21,17,Brett Favre pass complete short left to James Jones for 9 yards (tackle by Stephen Cooper),1.270,1.940
3,2:54,2,1,GNB 44,21,17,"Brandon Jackson left guard for 1 yard (tackle by Jamal Williams). Penalty on GNB: Illegal Formation, 5 yards (no play)",1.940,1.260
3,2:28,2,6,GNB 39,21,17,Brett Favre pass complete short middle to Donald Driver for 12 yards (tackle by Drayton Florence),1.260,2.320
3,1:45,1,10,SDG 49,21,17,Brett Favre pass complete short right to DeShawn Wynn for 3 yards (tackle by Clinton Hart),2.320,2.190
3,1:03,2,7,SDG 46,21,17,Brett Favre sacked by Shaun Phillips and Igor Olshansky for -5 yards,2.190,0.830
3,0:20,3,12,GNB 49,21,17,Brett Favre pass complete short middle to DeShawn Wynn for 2 yards (tackle by Shaun Phillips),0.830,0.000
Quarter,Time,Down,ToGo,Location,SDG,GNB,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,10,SDG 49,21,17,"Jon Ryan punts 34 yards, returned by Darren Sproles for 3 yards (tackle by Korey Hall)",0.000,-0.040
4,14:52,1,10,SDG 18,21,17,LaDainian Tomlinson up the middle for 7 yards (tackle by A.J. Hawk),0.040,0.550
4,14:21,2,3,SDG 25,21,17,LaDainian Tomlinson left end for 3 yards (tackle by A.J. Hawk),0.550,0.810
4,13:40,1,10,SDG 28,21,17,Michael Turner right end for no gain (tackle by Aaron Kampman and Ryan Pickett),0.810,0.260
4,13:03,2,10,SDG 28,21,17,Michael Turner right end for 1 yard (tackle by Aaron Kampman and Colin Cole),0.260,-0.300
4,12:20,3,9,SDG 29,21,17,"Philip Rivers sacked by Kabeer Gbaja-Biamila and Aaron Kampman for -8 yards. Philip Rivers fumbles (forced by Kabeer Gbaja-Biamila), recovered by Mike Goff at SDG-22",-0.300,-1.900
4,11:51,4,16,SDG 22,21,17,"Mike Scifres punts 61 yards, returned by Charles Woodson for 13 yards (tackle by Carlos Polk)",-1.900,-0.940
4,11:38,1,10,GNB 30,21,17,Brett Favre pass complete short right to Donald Driver for 24 yards (tackle by Drayton Florence),0.940,2.520
4,11:07,1,10,SDG 46,21,17,DeShawn Wynn left tackle for 4 yards (tackle by Carlos Polk and Stephen Cooper),2.520,2.520
4,10:30,,,,21,17,Timeout #1 by Green Bay Packers,0.000,2.520
4,10:30,2,6,SDG 42,21,17,"Brett Favre pass incomplete short right intended for James Jones (defended by Quentin Jammer). Penalty on Shawne Merriman: Defensive Offside, 5 yards (no play)",2.520,3.190
4,10:25,2,1,SDG 37,21,17,Brett Favre pass complete short left to Greg Jennings for 10 yards (tackle by Marlon McCree),3.190,3.780
4,9:49,1,10,SDG 27,21,17,Brett Favre pass complete short right to James Jones for 8 yards (tackle by Quentin Jammer),3.780,4.350
4,9:03,2,2,SDG 19,21,17,Brett Favre pass incomplete short right intended for James Jones (defended by Quentin Jammer),4.350,3.640
4,8:59,3,2,SDG 19,21,17,"Brett Favre pass complete short left to Donald Lee for 6 yards (tackle by Marlon McCree). Penalty on Donald Lee: Offensive Pass Interference, 10 yards (no play)",3.640,2.280
4,8:31,3,12,SDG 29,21,17,Brett Favre pass complete short right to Donald Lee for 18 yards (tackle by Tim Dobbins),2.280,4.840
4,7:59,,,,21,17,Timeout #1 by San Diego Chargers,0.000,4.840
4,7:59,1,10,SDG 11,21,17,Brett Favre pass incomplete short middle intended for James Jones (defended by Clinton Hart),4.840,4.140
4,7:55,2,10,SDG 11,21,17,Brett Favre pass complete short left to Donald Lee for 10 yards (tackle by Marlon McCree),4.140,6.970
4,7:09,,,,21,17,Timeout #2 by Green Bay Packers,0.000,6.970
4,7:09,1,1,SDG 1,21,17,"Penalty on Junius Coston: False Start, 5 yards (no play)",6.970,5.830
4,7:09,1,6,SDG 6,21,17,Brett Favre pass incomplete short right intended for Brandon Jackson,5.830,4.950
4,7:05,2,6,SDG 6,21,17,Brett Favre sacked by Shaun Phillips for -1 yards,4.950,3.810
4,6:32,3,7,SDG 7,21,17,Brett Favre pass complete short right to James Jones for 6 yards,3.810,3.550
4,5:51,4,1,SDG 1,21,17,Brett Favre pass incomplete short middle intended for Bubba Franks (defended by Shaun Phillips),3.550,0.380
4,5:48,1,10,SDG 1,21,17,Lorenzo Neal left guard for no gain (tackle by Colin Cole),-0.380,-0.780
4,5:11,2,10,SDG 1,21,17,Philip Rivers pass complete short right to Lorenzo Neal for 2 yards (tackle by Charles Woodson),-0.780,-1.190
4,4:28,3,8,SDG 3,21,17,Philip Rivers pass complete deep right to Antonio Gates for 18 yards (tackle by Jarrett Bush),-1.190,0.340
4,3:50,1,10,SDG 21,21,17,LaDainian Tomlinson up the middle for 5 yards (tackle by Aaron Kampman and Atari Bigby),0.340,0.480
4,3:13,2,5,SDG 26,21,17,LaDainian Tomlinson left tackle for 2 yards (tackle by Aaron Kampman),0.480,0.040
4,2:31,3,3,SDG 28,21,17,Philip Rivers pass incomplete short left intended for Vincent Jackson,0.040,-1.500
4,2:27,4,3,SDG 28,21,17,"Mike Scifres punts 42 yards, returned by Charles Woodson for 13 yards (tackle by Antonio Cromartie)",-1.500,-1.800
4,2:18,1,10,GNB 43,21,17,Brett Favre pass incomplete deep right intended for Bubba Franks,1.800,1.250
4,2:13,2,10,GNB 43,21,23,"Brett Favre pass complete short left to Greg Jennings for 57 yards, touchdown",1.250,7.000
4,,,,SDG 2,21,24,Mason Crosby kicks extra point good,0.000,0.000
4,,,,GNB 30,21,24,"Mason Crosby kicks off 74 yards, returned by Darren Sproles for 25 yards (tackle by Tracy White)",0.000,0.340
4,1:58,1,10,SDG 21,21,24,Philip Rivers pass complete short right to Vincent Jackson for 11 yards (tackle by Charles Woodson),0.340,1.070
4,1:32,1,10,SDG 32,21,24,Philip Rivers pass incomplete deep left intended for Malcom Floyd,1.070,0.530
4,1:27,2,10,SDG 32,21,24,Philip Rivers pass incomplete short left intended for Craig Davis,0.530,-0.160
4,1:22,3,10,SDG 32,21,24,Philip Rivers pass incomplete short middle intended for LaDainian Tomlinson is intercepted by Nick Barnett at SDG-40 and returned for 38 yards (tackle by Marcus McNeill),-0.160,-6.740
4,1:12,1,2,SDG 2,21,24,Brandon Jackson left end for 1 yard (tackle by Brandon Siler and Marlon McCree),6.740,5.910
4,1:07,2,1,SDG 1,21,30,"Brandon Jackson right guard for 1 yard, touchdown",5.910,7.000
4,,,,SDG 2,21,31,Mason Crosby kicks extra point good,0.000,0.000
4,,,,GNB 30,21,31,"Mason Crosby kicks off 78 yards, returned by Darren Sproles for 39 yards (tackle by Atari Bigby)",0.000,1.000
4,0:54,1,10,SDG 31,21,31,Philip Rivers pass complete short right to LaDainian Tomlinson for 14 yards (tackle by Al Harris),1.000,1.930
4,0:46,1,10,SDG 45,21,31,Philip Rivers pass complete short right to Vincent Jackson for 18 yards (tackle by Charles Woodson),1.930,3.120
4,0:38,,,,21,31,Timeout #2 by San Diego Chargers,0.000,3.120
4,0:38,1,10,GNB 37,21,31,Philip Rivers pass incomplete deep left intended for Malcom Floyd,3.120,2.570
4,0:32,2,10,GNB 37,21,31,Philip Rivers pass complete short right to Vincent Jackson for 11 yards (tackle by Al Harris),2.570,3.840
4,0:25,,,,21,31,Timeout #3 by San Diego Chargers,0.000,3.840
4,0:25,1,10,GNB 26,24,31,Nate Kaeding 44 yard field goal good,3.840,3.000
4,,,,SDG 30,24,31,"Mike Scifres kicks onside 15 yards, recovered by Donald Driver",0.000,2.590
4,0:19,1,10,SDG 45,24,31,Brett Favre kneels for -1 yards,2.590,1.910
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
