Quarter,Time,Tm,Detail,HOU,LAR
1.0,11:10,Rams,Greg Zuerlein 27 yard field goal,0,3
2.0,10:17,Rams,Greg Zuerlein 33 yard field goal,0,6
,6:31,Texans,Bruce Ellington 26 yard pass from Tom Savage (Ka'imi Fairbairn kick),7,6
,0:14,Rams,Greg Zuerlein 50 yard field goal,7,9
3.0,9:23,Rams,Robert Woods 94 yard pass from Jared Goff (Greg Zuerlein kick),7,16
,1:33,Rams,Sammy Watkins 17 yard pass from Jared Goff (Greg Zuerlein kick),7,23
,1:14,Rams,Robert Woods 12 yard pass from Jared Goff (Greg Zuerlein kick),7,30
4.0,7:33,Rams,Greg Zuerlein 33 yard field goal,7,33
