Quarter,Time,Down,ToGo,Location,HOU,LAR,Detail,EPB,EPA
2,12:42,1,10,HOU 28,0,3,Todd Gurley left tackle for 15 yards (tackle by Corey Moore),3.710,4.710
2,12:01,1,10,HOU 13,0,3,Todd Gurley right end for -7 yards (tackle by Jadeveon Clowney),4.710,3.210
2,11:16,2,17,HOU 20,0,3,Jared Goff right end for 6 yards (tackle by Johnathan Joseph),3.210,3.080
2,10:28,3,11,HOU 14,0,3,Jared Goff pass incomplete short right intended for Todd Gurley,3.080,2.510
2,10:22,4,11,HOU 14,0,6,Greg Zuerlein 33 yard field goal good,2.510,3.000
2,10:17,,,LAR 35,0,6,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,10:17,1,10,HOU 25,0,6,Tom Savage for 1 yard (tackle by Alec Ogletree),0.610,0.200
2,9:51,2,9,HOU 26,0,6,D'Onta Foreman right end for 1 yard (tackle by Mark Barron),0.200,-0.360
2,9:07,3,8,HOU 27,0,6,Tom Savage pass complete deep right to Stephen Anderson for 17 yards (tackle by John Johnson),-0.360,1.860
2,8:23,1,10,HOU 44,0,6,D'Onta Foreman middle for 6 yards (tackle by John Johnson),1.860,2.130
2,7:44,2,4,,0,6,Tom Savage pass complete short left to DeAndre Hopkins for 18 yards (tackle by Trumaine Johnson),2.130,3.450
2,7:16,1,10,LAR 32,0,6,Tom Savage pass complete short right to Will Fuller for 6 yards (tackle by Kayvon Webster),3.450,3.710
2,6:39,2,4,LAR 26,0,6,Tom Savage pass incomplete short middle intended for Will Fuller (defended by Lamarcus Joyner),3.710,3.010
2,6:37,3,4,LAR 26,6,6,"Tom Savage pass complete short left to Bruce Ellington for 26 yards, touchdown",3.010,7.000
2,6:31,,,LAR 15,7,6,Ka'imi Fairbairn kicks extra point good,0.000,0.000
2,6:31,,,HOU 35,7,6,"Ka'imi Fairbairn kicks off 74 yards, returned by Pharoh Cooper for 27 yards (tackle by Brian Peters)",0.000,-0.040
2,6:25,1,10,LAR 18,7,6,Tavon Austin left end for 7 yards (tackle by Andre Hal and Kevin Johnson),0.040,0.550
2,5:50,2,3,LAR 25,7,6,Todd Gurley middle for 2 yards (tackle by Angelo Blackson and Marcus Gilchrist),0.550,-0.020
2,5:14,3,1,LAR 27,7,6,Jared Goff pass complete short right to Todd Gurley for 2 yards (tackle by Benardrick McKinney),-0.020,0.870
2,4:42,1,10,LAR 29,7,6,"Penalty on Tyler Higbee: False Start, 5 yards (no play)",0.870,0.540
2,4:24,1,15,LAR 24,7,6,Jared Goff pass incomplete deep left intended for Sammy Watkins,0.540,-0.350
2,4:16,2,15,LAR 24,7,6,Jared Goff pass incomplete short left intended for Tyler Higbee,-0.350,-1.020
2,4:11,3,15,LAR 24,7,6,Jared Goff pass complete short middle to Todd Gurley for 8 yards (tackle by Kareem Jackson),-1.020,-1.240
2,3:39,4,7,LAR 32,7,6,Johnny Hekker pass complete short right to Pharoh Cooper for 6 yards (tackle by Kurtis Drummond),-1.240,-3.050
2,3:30,1,10,LAR 38,7,6,Lamar Miller right end for 21 yards (tackle by John Johnson and Lamarcus Joyner),3.050,4.440
2,3:03,1,10,LAR 17,7,6,Lamar Miller right tackle for 2 yards (tackle by Tyrunn Walker and Matt Longacre),4.440,4.150
2,2:26,2,8,LAR 15,7,6,Tom Savage sacked by Michael Brockers for -3 yards,4.150,3.000
2,2:00,3,11,LAR 18,7,6,"Tom Savage pass incomplete short middle intended for Bruce Ellington. Penalty on Nickell Robey-Coleman: Defensive Holding, 5 yards (no play)",3.000,4.710
2,1:56,1,10,LAR 13,7,6,Tom Savage pass incomplete short left intended for Bruce Ellington (defended by Michael Brockers),4.710,4.050
2,1:50,2,10,LAR 13,7,6,"Lamar Miller right tackle for 3 yards (tackle by John Johnson). Penalty on Xavier Su'a-Filo: Offensive Holding, 10 yards",4.050,3.210
2,1:44,2,17,LAR 20,7,6,Tom Savage pass incomplete short middle intended for C.J. Fiedorowicz is intercepted by Mark Barron at LAR-10 and returned for 15 yards,3.210,-0.610
2,1:35,1,10,LAR 25,7,6,Todd Gurley left end for -1 yards (tackle by Lamarr Houston),0.610,0.000
2,1:27,,,,,,Timeout #2 by Houston Texans,0.000,0.070
2,1:27,2,11,LAR 24,7,6,Jared Goff pass complete short left to Cooper Kupp for 9 yards (tackle by Kareem Jackson),-0.070,0.430
2,1:18,3,2,LAR 33,7,6,Jared Goff pass complete short right to Robert Woods for 7 yards (tackle by Johnathan Joseph),0.430,1.600
2,1:17,1,10,LAR 40,7,6,Jared Goff pass incomplete deep right intended for Robert Woods,1.600,1.050
2,1:12,2,10,LAR 40,7,6,Jared Goff pass complete short middle to Pharoh Cooper for 6 yards (tackle by Kareem Jackson),1.050,1.160
2,0:44,3,4,LAR 46,7,6,Jared Goff pass complete short middle to Tyler Higbee for 15 yards (tackle by Eddie Pleasant),1.160,0.000
2,0:37,,,,,,Timeout #1 by Los Angeles Rams,0.000,-2.980
2,0:37,1,10,HOU 39,7,6,Jared Goff pass incomplete short left intended for Cooper Kupp (defended by Benardrick McKinney),2.980,2.440
2,0:32,2,10,HOU 39,7,6,Jared Goff pass incomplete,2.440,1.750
2,0:23,3,10,HOU 39,7,6,Jared Goff pass complete short right to Tyler Higbee for 7 yards (tackle by Eddie Pleasant),1.750,1.290
2,0:19,4,3,HOU 32,7,9,Greg Zuerlein 50 yard field goal good,1.290,3.000
2,0:14,,,LAR 35,7,9,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
2,0:14,1,10,HOU 25,7,9,Tom Savage kneels for -1 yards,0.610,-0.070
Quarter,Time,Down,ToGo,Location,HOU,LAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,HOU 35,7,9,"Ka'imi Fairbairn kicks off 62 yards, returned by Pharoh Cooper for 22 yards (tackle by Chris Thompson)",0.000,-0.610
3,14:55,1,10,LAR 25,7,9,"Penalty on Rob Havenstein: False Start, 5 yards (no play)",0.610,0.280
3,14:55,1,15,LAR 20,7,9,Jared Goff pass complete short left to Cooper Kupp for 19 yards (tackle by Benardrick McKinney),0.280,1.530
3,14:16,1,10,LAR 39,7,9,"Jared Goff pass incomplete. Penalty on Jared Goff: Intentional Grounding, 10 yards",1.530,-0.360
3,14:11,2,20,LAR 29,7,9,Jared Goff pass complete short left to Todd Gurley for 3 yards (tackle by Lamarr Houston and Kareem Jackson),-0.360,-0.630
3,13:29,3,17,LAR 32,7,9,"Penalty on Jadeveon Clowney: Neutral Zone Infraction, 5 yards (no play)",-0.630,0.040
3,13:27,3,12,LAR 37,7,9,Jared Goff pass incomplete short right intended for Gerald Everett,0.040,-0.910
3,13:18,4,12,LAR 37,7,9,"Johnny Hekker punts 43 yards, out of bounds",-0.910,-0.280
3,13:13,1,10,HOU 20,7,9,Lamar Miller right end for -4 yards (tackle by Aaron Donald),0.280,-0.940
3,12:36,2,14,HOU 16,7,9,Tom Savage pass complete deep right to DeAndre Hopkins for 32 yards (tackle by Trumaine Johnson),-0.940,2.130
3,12:12,1,10,HOU 48,7,9,Lamar Miller middle for no gain (tackle by Ethan Westbrooks),2.130,1.580
3,11:35,2,10,HOU 48,7,9,"Tom Savage pass incomplete short middle intended for Lamar Miller is intercepted by Alec Ogletree at HOU-48 and returned for 48 yards. Penalty on Alec Ogletree: Defensive Holding, 5 yards (no play)",1.580,2.460
3,11:20,1,10,LAR 47,7,9,"Tom Savage pass complete deep left to DeAndre Hopkins for 17 yards (tackle by Nickell Robey-Coleman). Penalty on DeAndre Hopkins: Offensive Pass Interference, 10 yards (no play)",2.460,1.800
3,11:12,1,20,HOU 43,7,9,Tom Savage pass incomplete short right intended for DeAndre Hopkins (defended by Alec Ogletree),1.800,0.560
3,11:08,2,20,HOU 43,7,9,Tom Savage pass complete short right to Bruce Ellington for 6 yards (tackle by Alec Ogletree and Nickell Robey-Coleman),0.560,0.700
3,10:27,3,14,HOU 49,7,9,Tom Savage pass incomplete deep right intended for Bruce Ellington,0.700,-0.130
3,10:20,4,14,HOU 49,7,9,"Shane Lechler punts 37 yards, out of bounds. Penalty on Corey Moore: Offensive Holding, 10 yards (no play)",-0.130,-0.780
3,10:09,4,24,HOU 39,7,9,"Shane Lechler punts 58 yards, returned by Pharoh Cooper for 1 yard (tackle by Chris Thompson)",-0.780,0.380
3,9:56,1,10,LAR 4,7,9,Todd Gurley left end for 2 yards (tackle by Kevin Johnson),-0.380,-0.630
3,9:36,2,8,LAR 6,7,15,"Jared Goff pass complete deep middle to Robert Woods for 94 yards, touchdown",-0.630,7.000
3,9:23,,,HOU 15,7,16,Greg Zuerlein kicks extra point good,0.000,0.000
3,9:23,,,LAR 35,7,16,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
3,9:23,1,10,HOU 25,7,16,Tom Savage pass incomplete short right intended for Bruce Ellington,0.610,0.060
3,9:16,2,10,HOU 25,7,16,D'Onta Foreman left tackle for 5 yards (tackle by Connor Barwin),0.060,0.040
3,8:32,3,5,HOU 30,7,16,Tom Savage pass incomplete short left intended for C.J. Fiedorowicz,0.040,-1.370
3,8:27,4,5,HOU 30,7,16,"Shane Lechler punts 56 yards, returned by Pharoh Cooper for 4 yards (tackle by Zach Cunningham). Penalty on Samson Ebukam: Illegal Block Above the Waist, 9 yards",-1.370,0.380
3,8:14,1,10,LAR 9,7,16,Todd Gurley for 11 yards (tackle by Jelani Jenkins),-0.380,0.280
3,7:53,1,10,LAR 20,7,16,Jared Goff pass complete short middle to Robert Woods for 8 yards (tackle by Jelani Jenkins),0.280,0.810
3,7:20,2,2,LAR 28,7,16,Jared Goff pass complete short left to Cooper Kupp for 7 yards (tackle by Marcus Williams),0.810,1.270
3,6:56,1,10,LAR 35,7,16,Jared Goff sacked by Brennan Scarlett for -6 yards,1.270,-0.090
3,6:16,2,16,LAR 29,7,16,Jared Goff pass complete short right to Robert Woods for 13 yards (tackle by Andre Hal),-0.090,0.960
3,5:52,3,3,LAR 42,7,16,Jared Goff pass complete short middle to Cooper Kupp for 7 yards (tackle by Kareem Jackson),0.960,2.190
3,5:26,1,10,LAR 49,7,16,Jared Goff pass incomplete short middle intended for Lance Dunbar (defended by Angelo Blackson),2.190,1.650
3,5:20,2,10,LAR 49,7,16,Tavon Austin left end for 4 yards (tackle by Benardrick McKinney),1.650,1.490
3,4:36,3,6,HOU 47,7,16,Jared Goff sacked by Brennan Scarlett for -5 yards,1.490,-0.190
3,4:03,4,11,LAR 48,7,16,"Johnny Hekker punts 52 yards, touchback",-0.190,-0.280
3,3:53,1,10,HOU 20,7,16,D'Onta Foreman middle for no gain (tackle by Morgan Fox),0.280,-0.270
3,3:16,2,10,HOU 20,7,16,Tom Savage pass incomplete short right intended for C.J. Fiedorowicz,-0.270,-0.960
3,3:11,3,10,HOU 20,7,16,Tom Savage pass incomplete deep left intended for DeAndre Hopkins,-0.960,-2.030
3,3:04,4,10,HOU 20,7,16,"Shane Lechler punts 43 yards, returned by Pharoh Cooper for 27 yards (tackle by Brian Peters)",-2.030,-3.180
3,2:51,1,10,HOU 36,7,16,Tavon Austin right end for -5 yards (tackle by Andre Hal),3.180,1.960
3,2:10,2,15,HOU 41,7,16,Jared Goff pass complete deep middle to Sammy Watkins for 24 yards (tackle by Marcus Gilchrist),1.960,4.440
3,1:42,1,10,HOU 17,7,22,"Jared Goff pass complete short left to Sammy Watkins for 17 yards, touchdown",4.440,7.000
3,1:33,,,HOU 15,7,23,Greg Zuerlein kicks extra point good,0.000,0.000
3,1:33,,,LAR 35,7,23,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
3,1:33,1,10,HOU 25,7,23,"Tom Savage sacked by Samson Ebukam for -7 yards. Tom Savage fumbles (forced by Samson Ebukam), recovered by Tyrunn Walker at HOU-15 and returned for 3 yards (tackle by Nick Martin)",0.610,-4.780
3,1:24,1,10,HOU 12,7,29,"Jared Goff pass complete short right to Robert Woods for 12 yards, touchdown",4.780,7.000
3,1:14,,,HOU 15,7,30,Greg Zuerlein kicks extra point good,0.000,0.000
3,1:14,,,LAR 35,7,30,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
3,1:13,1,10,HOU 25,7,30,Alfred Blue left end for 1 yard (tackle by Mark Barron),0.610,0.200
3,0:33,2,9,HOU 26,7,30,"Tom Savage pass complete short right to Bruce Ellington for 4 yards (tackle by Nickell Robey-Coleman). Penalty on Nickell Robey-Coleman: Face Mask (15 Yards), 15 yards",0.200,1.930
3,0:07,1,10,HOU 45,7,30,Alfred Blue left tackle for 7 yards (tackle by Mark Barron),1.930,2.330
Quarter,Time,Down,ToGo,Location,HOU,LAR,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,LAR 48,7,30,Alfred Blue right tackle for -3 yards (tackle by Ethan Westbrooks),2.330,1.220
4,14:14,3,6,HOU 49,7,30,Tom Savage pass incomplete short middle intended for Bruce Ellington. Penalty on Breno Giacomini: Offensive Holding (Declined),1.220,-0.130
4,14:07,4,6,HOU 49,7,30,"Shane Lechler punts 40 yards, fair catch by Pharoh Cooper",-0.130,0.370
4,13:59,1,10,LAR 11,7,30,Tavon Austin left end for no gain (tackle by Corey Moore),-0.370,-0.780
4,13:30,2,10,LAR 11,7,30,"Penalty on Lamarr Houston: Neutral Zone Infraction, 5 yards (no play)",-0.780,-0.300
4,13:07,2,5,LAR 16,7,30,Todd Gurley right tackle for 2 yards (tackle by D.J. Reader and Carlos Watkins),-0.300,-0.600
4,12:25,3,3,LAR 18,7,30,Jared Goff pass complete short right to Todd Gurley for 6 yards (tackle by Eddie Pleasant and Zach Cunningham),-0.600,0.540
4,11:51,1,10,LAR 24,7,30,"Todd Gurley left end for 1 yard (tackle by Corey Moore). Penalty on Andrew Whitworth: Offensive Holding, 10 yards (no play)",0.540,-0.500
4,11:20,1,20,LAR 14,7,30,Todd Gurley right end for 34 yards (tackle by Andre Hal),-0.500,0.000
4,10:33,,,,,,Timeout #1 by Los Angeles Rams,0.000,-2.130
4,10:33,1,10,LAR 48,7,30,Jared Goff pass complete deep left to Robert Woods for 30 yards (tackle by Johnathan Joseph),2.130,4.110
4,9:45,1,10,HOU 22,7,30,Tavon Austin left end for -4 yards (tackle by Carlos Watkins),4.110,3.020
4,9:11,2,14,HOU 26,7,30,Jared Goff pass complete short right to Robert Woods for 4 yards (tackle by Brian Peters and Johnathan Joseph),3.020,2.870
4,8:23,3,10,HOU 22,7,30,Jared Goff pass complete short left to Cooper Kupp for 7 yards (tackle by Corey Moore),2.870,2.540
4,7:38,4,3,HOU 15,7,33,Greg Zuerlein 33 yard field goal good,2.540,3.000
4,7:33,,,LAR 35,7,33,"Greg Zuerlein kicks off 65 yards, touchback",0.000,-0.610
4,7:33,1,10,HOU 25,7,33,Alfred Blue left tackle for 5 yards (tackle by Mark Barron),0.610,0.740
4,6:53,2,5,HOU 30,7,33,"Tom Savage pass incomplete short left intended for DeAndre Hopkins. Penalty on Kayvon Webster: Defensive Pass Interference, 7 yards (no play)",0.740,1.400
4,6:48,1,10,HOU 37,7,33,Tom Savage pass incomplete short left intended for DeAndre Hopkins,1.400,0.860
4,6:44,2,10,HOU 37,7,33,Tom Savage pass complete deep left to DeAndre Hopkins for 36 yards (tackle by Kayvon Webster),0.860,3.780
4,6:07,1,10,LAR 27,7,33,Tom Savage pass complete short left to DeAndre Hopkins for 11 yards (tackle by Kayvon Webster),3.780,4.510
4,5:37,1,10,LAR 16,7,33,Tom Savage pass incomplete deep left intended for DeAndre Hopkins (defended by Kayvon Webster),4.510,3.900
4,5:29,2,10,LAR 16,7,33,Tom Savage pass complete short middle to Bruce Ellington for 5 yards (tackle by Nickell Robey-Coleman),3.900,3.940
4,4:49,3,5,LAR 11,7,33,Tom Savage pass incomplete short middle intended for Stephen Anderson (defended by Cory Littleton),3.940,2.750
4,4:43,4,5,LAR 11,7,33,Tom Savage pass incomplete short middle intended for DeAndre Hopkins is intercepted by Blake Countess at LAR-6 and returned for 19 yards,2.750,-0.610
4,4:34,1,10,LAR 25,7,33,Lance Dunbar left end for 1 yard (tackle by Brennan Scarlett),0.610,0.200
4,3:49,2,9,LAR 26,7,33,Lance Dunbar right end for 12 yards (tackle by Kurtis Drummond),0.200,1.470
4,3:39,1,10,LAR 38,7,33,Lance Dunbar left end for -1 yards (tackle by Brennan Scarlett),1.470,0.790
4,2:52,2,11,LAR 37,7,33,Lance Dunbar left tackle for 8 yards (tackle by Marcus Williams),0.790,1.160
4,2:10,3,3,LAR 45,7,33,Lance Dunbar left tackle for 11 yards (tackle by Kurtis Drummond),1.160,2.650
4,2:00,1,10,HOU 44,7,33,Jared Goff kneels for -1 yards,2.650,1.980
4,1:16,2,11,HOU 45,7,33,Jared Goff kneels for -1 yards,1.980,1.160
4,0:36,3,12,HOU 46,7,33,Jared Goff kneels for -1 yards,1.160,0.130
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
