Player,Pos
Jared Goff,QB
Todd Gurley,RB
Tavon Austin,WR
Sammy Watkins,WR
Gerald Everett,TE
Tyler Higbee,TE
Andrew Whitworth,LT
Rodger Saffold,LG
John Sullivan,C
Jamon Brown,RG
Rob Havenstein,RT
Michael Brockers,DE
Aaron Donald,DT
Ethan Westbrooks,DT
Connor Barwin,OLB
Matt Longacre,OLB
Mark Barron,ILB
Alec Ogletree,ILB
Trumaine Johnson,LCB
Kayvon Webster,RCB
John Johnson,SS
Lamarcus Joyner,FS
