Quarter,Time,Tm,Detail,TEN,IND
1.0,8:57,Colts,Adam Vinatieri 49 yard field goal,0,3
,2:21,Titans,Zach Mettenberger 5 yard rush (Ryan Succop kick),7,3
,0:12,Colts,Coby Fleener 57 yard pass from Josh Freeman (Adam Vinatieri kick),7,10
2.0,10:25,Titans,David Cobb 1 yard rush (Ryan Succop kick),14,10
,6:29,Colts,Adam Vinatieri 52 yard field goal,14,13
,0:13,Colts,Andre Johnson 18 yard pass from Ryan Lindley (Adam Vinatieri kick),14,20
3.0,14:19,Colts,Jerrell Freeman 23 yard interception return (Adam Vinatieri kick),14,27
,7:30,Titans,Ryan Succop 49 yard field goal,17,27
4.0,11:07,Titans,Dorial Green-Beckham 5 yard pass from Alex Tanney (Ryan Succop kick),24,27
,2:25,Colts,Adam Vinatieri 35 yard field goal,24,30
