Unnamed: 0,TEN,IND
First Downs,14,20
Rush-Yds-TDs,27-137-2,32-127-0
Cmp-Att-Yd-TD-INT,15-27-137-1-1,21-38-207-2-1
Sacked-Yards,4-43,1-7
Net Pass Yards,94,200
Total Yards,231,327
Fumbles-Lost,1-0,0-0
Turnovers,1,1
Penalties-Yards,6-60,6-71
Third Down Conv.,4-14,7-17
Fourth Down Conv.,1-2,0-0
Time of Possession,26:43,33:17
