Unnamed: 0,SEA,SFO
First Downs,18,12
Rush-Yds-TDs,22-64-0,32-85-1
Cmp-Att-Yd-TD-INT,21-37-197-2-1,15-20-124-0-0
Sacked-Yards,5-42,0-0
Net Pass Yards,155,124
Total Yards,219,209
Fumbles-Lost,3-2,1-0
Turnovers,3,0
Penalties-Yards,11-72,9-102
Third Down Conv.,5-15,1-12
Fourth Down Conv.,1-1,0-0
Time of Possession,28:53,31:07
