Unnamed: 0,DAL,NYG
First Downs,18,15
Rush-Yds-TDs,26-143-0,19-82-1
Cmp-Att-Yd-TD-INT,22-29-307-3-1,21-32-213-1-0
Sacked-Yards,2-17,3-26
Net Pass Yards,290,187
Total Yards,433,269
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,13-86,4-33
Third Down Conv.,4-10,4-12
Fourth Down Conv.,0-1,2-2
Time of Possession,34:07,25:53
