Quarter,Time,Down,ToGo,Location,MIN,ATL,Detail,EPB,EPA
2,11:36,2,3,MIN 45,7,6,Doug Chapman right end for -1 yards (tackle by Chris Draft),1.870,1.020
2,10:54,3,4,MIN 44,7,6,Gus Frerotte pass incomplete intended for Randy Moss (defended by Ray Buchanan),1.020,-0.460
2,10:50,4,4,MIN 44,7,6,Eddie Johnson punts 50 yards,-0.460,0.380
2,10:35,1,10,ATL 7,7,6,Doug Johnson pass incomplete intended for Justin Griffith,-0.380,-0.780
2,10:30,2,10,ATL 7,9,6,"Doug Johnson pass incomplete, safety. Penalty on Doug Johnson: Intentional Grounding, 7 yards",-0.780,-2.000
2,,,,ATL 20,9,6,"Chris Mohr kicks off 45 yards, returned by John Avery for no gain",0.000,1.270
2,10:16,1,10,MIN 35,9,6,Gus Frerotte pass complete to Nate Burleson for 52 yards (tackle by Kevin Mathis),1.270,4.710
2,9:33,1,10,ATL 13,9,6,Gus Frerotte pass incomplete intended for Moe Williams,4.710,4.050
2,9:29,2,10,ATL 13,9,6,Gus Frerotte pass complete to Onterrio Smith for 3 yards (tackle by Keith Brooking),4.050,3.650
2,8:43,3,7,ATL 10,9,6,Gus Frerotte sacked by Ed Jasper and Patrick Kerney for -4 yards,3.650,2.510
2,8:39,4,11,ATL 14,12,6,Aaron Elling 32 yard field goal good,2.510,3.000
2,,,,MIN 30,12,6,"Aaron Elling kicks off 64 yards, returned by Woodrow Dantzler for 18 yards (tackle by Willie Offord)",0.000,0.540
2,8:01,1,10,ATL 24,12,6,"T.J. Duckett right tackle for 4 yards (tackle by Corey Chavous). Penalty on Chris Hovan: Defensive Offside, 5 yards (no play)",0.540,1.270
2,7:31,1,5,ATL 29,12,6,"T.J. Duckett right tackle for 55 yards (tackle by Corey Chavous). Penalty on Corey Chavous: Face Mask (15 Yards), 8 yards",1.270,5.370
2,7:00,1,8,MIN 8,12,12,"Warrick Dunn for 8 yards, touchdown",5.370,7.000
2,,,,MIN 2,12,13,Jay Feely kicks extra point good,0.000,0.000
2,,,,ATL 30,12,13,"Jay Feely kicks off 68 yards, returned by John Avery for 19 yards (tackle by Allen Rossum)",0.000,0.340
2,6:50,1,10,MIN 21,12,13,Gus Frerotte sacked by Keith Newman for -2 yards,0.340,-0.530
2,6:13,2,12,MIN 19,12,13,Moe Williams up the middle for 3 yards (tackle by Chris Draft and Keith Brooking),-0.530,-0.760
2,5:29,3,9,MIN 22,12,13,Gus Frerotte for 4 yards (tackle by Keith Brooking),-0.760,-1.630
2,4:48,4,5,MIN 26,12,13,"Eddie Johnson punts 43 yards, returned by Allen Rossum for 10 yards (tackle by Charles Stackhouse). Penalty on Willie Offord: Taunting, 15 yards",-1.630,-2.650
2,4:36,1,10,MIN 44,12,13,Doug Johnson pass complete to Peerless Price for 5 yards (tackle by Denard Walker),2.650,2.780
2,3:52,2,5,MIN 39,12,13,Woodrow Dantzler left end for no gain (tackle by Fred Robbins),2.780,2.080
2,3:09,3,5,MIN 39,12,13,Doug Johnson pass complete to Peerless Price for 23 yards (tackle by Brian Williams),2.080,4.510
2,2:19,1,10,MIN 16,12,13,T.J. Duckett left end for 5 yards (tackle by Kenny Mixon),4.510,4.760
2,2:00,2,5,MIN 11,12,13,"Penalty on Todd McClure: Offensive Holding, 10 yards (no play)",4.760,3.280
2,1:53,2,15,MIN 21,12,13,T.J. Duckett up the middle for 6 yards (tackle by Henri Crockett),3.280,3.220
2,1:13,3,9,MIN 15,12,13,Doug Johnson pass complete to Brian Kozlowski for 10 yards (tackle by Brian Russell),3.220,6.060
2,0:35,1,5,MIN 5,12,13,T.J. Duckett left end for -7 yards (tackle by Henri Crockett),6.060,3.860
2,0:26,,,,12,13,Timeout #2 by Atlanta Falcons,0.000,3.860
2,0:26,2,12,MIN 12,12,13,Doug Johnson pass complete to Alge Crumpler for 6 yards (tackle by Corey Chavous),3.860,4.040
2,0:13,,,,12,13,Timeout #3 by Atlanta Falcons,0.000,4.040
2,0:13,3,6,MIN 6,12,19,"Doug Johnson pass complete to Peerless Price for 6 yards, touchdown",4.040,7.000
2,,,,MIN 2,12,20,Jay Feely kicks extra point good,0.000,0.000
2,,,,ATL 30,12,20,"Jay Feely kicks off 40 yards, returned by Cory Withrow for 8 yards (tackle by Karon Riley)",0.000,1.470
2,0:05,1,10,MIN 38,12,20,Gus Frerotte kneels for -1 yards,1.470,0.790
Quarter,Time,Down,ToGo,Location,MIN,ATL,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 30,12,20,"Jay Feely kicks off 72 yards, returned by John Avery for 24 yards (tackle by LaTarence Dunbar)",0.000,0.410
3,14:54,1,10,MIN 22,12,20,Moe Williams right tackle for 7 yards (tackle by Brady Smith),0.410,0.810
3,14:19,2,3,MIN 29,12,20,Doug Chapman left tackle for 1 yard (tackle by Ed Jasper),0.810,0.230
3,13:33,3,2,MIN 30,12,20,Onterrio Smith up the middle for 3 yards (tackle by Travis Hall),0.230,1.140
3,12:59,1,10,MIN 33,12,20,Onterrio Smith up the middle for 4 yards (tackle by Travis Hall),1.140,1.130
3,12:22,2,6,MIN 37,12,20,Gus Frerotte pass incomplete intended for Nate Burleson,1.130,0.430
3,12:17,3,6,MIN 37,12,20,Gus Frerotte pass complete to Moe Williams for 3 yards (tackle by Keith Brooking),0.430,-0.720
3,11:44,4,3,MIN 40,12,20,"Eddie Johnson punts 30 yards, fair catch by Allen Rossum",-0.720,-1.000
3,11:35,1,10,ATL 31,12,20,T.J. Duckett right end for no gain (tackle by Kenny Mixon),1.000,0.460
3,10:57,2,10,ATL 31,12,20,Doug Johnson for 7 yards (tackle by Chris Claiborne),0.460,0.700
3,10:18,3,3,ATL 38,12,20,Doug Johnson pass complete to Warrick Dunn for -6 yards (tackle by Kevin Williams),0.700,-1.240
3,9:34,4,9,ATL 32,12,20,"Chris Mohr punts 28 yards, fair catch by Keenan Howry. Penalty on LaTarence Dunbar: Interference with Opportunity to Catch, 15 yards",-1.240,-2.590
3,9:24,1,10,ATL 45,12,20,Moe Williams up the middle for 18 yards (tackle by Keith Brooking),2.590,3.780
3,8:47,1,10,ATL 27,12,20,Gus Frerotte pass complete to Onterrio Smith for 20 yards (tackle by Ray Buchanan),3.780,5.600
3,8:22,1,7,ATL 7,12,20,Doug Chapman right tackle for no gain (tackle by Travis Hall),5.600,4.760
3,7:46,2,7,ATL 7,12,20,"Gus Frerotte pass complete to Randy Moss for 7 yards. Penalty on Randy Moss: Offensive Pass Interference, 10 yards (no play)",4.760,3.240
3,7:41,2,17,ATL 17,18,20,"Gus Frerotte pass complete to Randy Moss for 17 yards, touchdown",3.240,7.000
3,,,,,20,20,"Two Point Attempt: Gus Frerotte pass complete to Onterrio Smith, conversion succeeds",1.000,1.000
3,,,,MIN 30,20,20,"Aaron Elling kicks off 62 yards, returned by Allen Rossum for 19 yards (tackle by Willie Offord)",0.000,0.740
3,7:29,1,10,ATL 27,20,20,Doug Johnson pass incomplete intended for Peerless Price,0.740,0.200
3,7:23,2,10,ATL 27,20,20,Doug Johnson pass complete to Peerless Price for 13 yards (tackle by Brian Russell),0.200,1.600
3,6:48,1,10,ATL 40,20,20,"T.J. Duckett left end for 4 yards (tackle by Corey Chavous). Penalty on Bob Whitfield: Offensive Holding, 10 yards (no play)",1.600,0.940
3,6:23,1,20,ATL 30,20,20,"Doug Johnson sacked by Kenny Mixon for -7 yards. Doug Johnson fumbles (forced by Kenny Mixon), recovered by Todd McClure at ATL-24",0.940,-1.110
3,5:37,2,26,ATL 24,20,20,Doug Johnson pass complete to Quentin McCord for 9 yards (tackle by Nick Rogers),-1.110,-0.560
3,4:55,3,17,ATL 33,20,20,Doug Johnson pass incomplete intended for Peerless Price,-0.560,-1.180
3,4:50,4,17,ATL 33,20,20,"Chris Mohr punts 44 yards, returned by Nate Burleson for no gain",-1.180,-0.480
3,4:40,1,10,MIN 23,20,20,Gus Frerotte pass complete to Kelly Campbell for 51 yards (tackle by Keion Carpenter),0.480,3.840
3,3:52,1,10,ATL 26,20,20,Moe Williams up the middle for 9 yards (tackle by Terrence Robinson),3.840,4.640
3,3:21,2,1,ATL 17,20,20,Doug Chapman up the middle for 6 yards (tackle by Terrence Robinson and Keith Brooking),4.640,4.840
3,2:46,1,10,ATL 11,26,20,"Moe Williams right tackle for 11 yards, touchdown",4.840,7.000
3,,,,ATL 2,27,20,Aaron Elling kicks extra point good,0.000,0.000
3,,,,MIN 30,27,20,"Aaron Elling kicks off 67 yards, returned by Woodrow Dantzler for 20 yards (tackle by Willie Offord)",0.000,0.480
3,2:33,1,10,ATL 23,27,20,Doug Johnson pass complete to Alge Crumpler for 7 yards (tackle by Greg Biekert),0.480,0.880
3,1:47,2,3,ATL 30,27,20,Doug Johnson pass incomplete intended for Quentin McCord,0.880,0.170
3,1:41,3,3,ATL 30,27,20,Doug Johnson pass incomplete intended for Alge Crumpler (defended by Chris Claiborne),0.170,-1.370
3,1:37,4,3,ATL 30,27,20,Chris Mohr punts 29 yards,-1.370,-1.660
3,1:28,1,10,MIN 41,27,20,Kelly Campbell right end for 7 yards (tackle by Ray Buchanan),1.660,2.070
3,0:48,2,3,MIN 48,27,20,Gus Frerotte pass complete to Nate Burleson for 12 yards (tackle by Keith Newman),2.070,2.920
Quarter,Time,Down,ToGo,Location,MIN,ATL,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,10,ATL 40,27,20,Gus Frerotte pass incomplete intended for Randy Moss,2.920,2.370
4,14:51,2,10,ATL 40,27,20,Onterrio Smith up the middle for 28 yards (tackle by Ray Buchanan),2.370,4.780
4,14:19,1,10,ATL 12,27,20,Onterrio Smith up the middle for 6 yards (tackle by Patrick Kerney),4.780,5.210
4,13:48,2,4,ATL 6,27,20,Onterrio Smith up the middle for 1 yard (tackle by Chris Draft),5.210,4.610
4,13:09,3,3,ATL 5,33,20,"Moe Williams up the middle for 5 yards, touchdown",4.610,7.000
4,,,,ATL 2,34,20,Aaron Elling kicks extra point good,0.000,0.000
4,,,,MIN 30,34,20,"Aaron Elling kicks off 66 yards, returned by Allen Rossum for 23 yards (tackle by Brian Williams)",0.000,0.740
4,12:59,1,10,ATL 27,34,20,Doug Johnson pass incomplete intended for T.J. Duckett is intercepted by Chris Claiborne at ATL-28 and returned for 3 yards (tackle by Quentin McCord),0.740,-3.910
4,12:47,1,10,ATL 25,34,20,"Gus Frerotte pass incomplete intended for Randy Moss is intercepted by Keion Carpenter at ATL-8 and returned for 14 yards (tackle by Jim Kleinsasser). Penalty on Chris Draft: Illegal Block Above the Waist, 4 yards",3.910,0.380
4,12:35,1,10,ATL 4,34,20,Doug Johnson pass complete to T.J. Duckett for 1 yard (tackle by Chris Claiborne),-0.380,-0.710
4,11:50,2,9,ATL 5,34,20,Doug Johnson pass incomplete intended for Peerless Price,-0.710,-1.300
4,11:43,3,9,ATL 5,36,20,"Doug Johnson pass incomplete intended for T.J. Duckett. Penalty on Bob Whitfield: Offensive Holding, 5 yards (no play)",-1.300,-2.000
4,,,,ATL 20,36,20,"Chris Mohr kicks off 56 yards, returned by John Avery for 9 yards (tackle by Bryan Scott)",0.000,1.140
4,11:23,1,10,MIN 33,36,20,Doug Chapman up the middle for -3 yards (tackle by Bryan Scott),1.140,0.190
4,10:55,2,13,MIN 30,36,20,Doug Chapman right tackle for 5 yards (tackle by Travis Hall),0.190,0.170
4,10:11,3,8,MIN 35,36,20,Doug Chapman right tackle for 3 yards (tackle by Keith Brooking),0.170,-0.850
4,9:27,4,5,MIN 38,36,20,"Eddie Johnson punts 52 yards, returned by Allen Rossum for 39 yards (tackle by Brian Williams)",-0.850,-2.190
4,9:12,1,10,ATL 49,36,20,Doug Johnson pass complete to Peerless Price for 13 yards (tackle by Denard Walker),2.190,3.050
4,8:47,1,10,MIN 38,36,20,Doug Johnson pass complete to Alge Crumpler for 12 yards (tackle by Corey Chavous),3.050,3.840
4,8:23,1,10,MIN 26,36,20,"Doug Johnson pass complete to Warrick Dunn for 24 yards (tackle by Ken Irvin). Warrick Dunn fumbles (forced by Ken Irvin), recovered by Chris Claiborne at MIN-0",3.840,-0.280
4,8:10,1,10,MIN 20,36,20,Doug Chapman right end for 6 yards (tackle by Keith Brooking),0.280,0.540
4,7:25,2,4,MIN 26,36,20,Doug Chapman right end for -1 yards (tackle by Terrence Robinson),0.540,-0.300
4,6:40,3,5,MIN 25,36,20,Gus Frerotte pass incomplete intended for Jim Kleinsasser (defended by Keion Carpenter),-0.300,-1.700
4,6:34,4,5,MIN 25,36,20,"Eddie Johnson punts 43 yards, returned by Allen Rossum for -1 yards (tackle by Mike Nattiel)",-1.700,-1.000
4,6:22,1,10,ATL 31,36,20,Doug Johnson pass complete to Peerless Price for 17 yards (tackle by Brian Williams),1.000,2.130
4,5:48,1,10,ATL 48,36,20,Doug Johnson sacked by Lance Johnstone for -10 yards,2.130,0.230
4,5:23,2,20,ATL 38,36,20,Doug Johnson pass complete to Warrick Dunn for 24 yards (tackle by Corey Chavous). Penalty on Kevin Williams: Defensive Holding (Declined),0.230,3.050
4,4:54,1,10,MIN 38,36,20,Doug Johnson pass incomplete intended for Peerless Price is intercepted by Brian Russell at MIN-10 and returned for 28 yards,3.050,-4.780
4,4:33,1,10,ATL 12,36,20,"Penalty on Hunter Goodwin: False Start, 5 yards (no play)",4.780,4.320
4,4:31,1,15,ATL 17,36,20,Doug Chapman right tackle for 6 yards (tackle by Keith Newman),4.320,4.270
4,4:26,2,9,ATL 11,36,20,Onterrio Smith up the middle for 5 yards (tackle by Chris Draft),4.270,4.380
4,3:03,3,4,ATL 6,36,20,Onterrio Smith right tackle for no gain (tackle by Chris Draft),4.380,3.000
4,2:55,,,,36,20,Timeout #1 by Atlanta Falcons,0.000,3.000
4,2:55,4,4,ATL 6,39,20,Aaron Elling 24 yard field goal good,3.000,3.000
4,,,,MIN 30,39,20,"Aaron Elling kicks off 68 yards, returned by Allen Rossum for 43 yards (tackle by Aaron Elling)",0.000,1.930
4,2:45,1,10,ATL 45,39,20,Doug Johnson pass complete to Warrick Dunn for 10 yards (tackle by Corey Chavous),1.930,2.590
4,2:36,1,10,MIN 45,39,20,"Warrick Dunn up the middle for 7 yards. Warrick Dunn fumbles, recovered by Warrick Dunn at MIN-38",2.590,2.990
4,2:08,2,3,MIN 38,39,20,Doug Johnson pass complete to Warrick Dunn for 16 yards (tackle by Kevin Williams),2.990,4.110
4,2:00,1,10,MIN 22,39,20,"Doug Johnson pass complete to Peerless Price for 9 yards (tackle by Brian Williams). Penalty on Brian Williams: Delay of Game, 5 yards",4.110,5.370
4,1:46,1,8,MIN 8,39,26,"Doug Johnson pass complete to Jimmy Farris for 8 yards, touchdown",5.370,7.000
4,,,,,39,26,"Two Point Attempt: Doug Johnson pass incomplete, conversion fails",1.000,-1.000
4,,,,ATL 30,39,26,"Chris Mohr kicks onside 15 yards, recovered by Randy Moss and returned for 22 yards",0.000,4.040
4,1:38,1,10,ATL 23,39,26,Onterrio Smith up the middle for 2 yards (tackle by Patrick Kerney),4.040,3.770
4,1:33,,,,39,26,Timeout #2 by Atlanta Falcons,0.000,3.770
4,1:33,2,8,ATL 21,39,26,Onterrio Smith left tackle for 3 yards (tackle by Patrick Kerney),3.770,3.490
4,1:26,,,,39,26,Timeout #3 by Atlanta Falcons,0.000,3.490
4,1:26,3,5,ATL 18,39,26,Onterrio Smith up the middle for 1 yard (tackle by Ed Jasper),3.490,2.390
4,0:41,4,4,ATL 17,39,26,Onterrio Smith up the middle for 2 yards (tackle by Chris Draft),2.390,0.220
4,0:34,1,10,ATL 15,39,26,Doug Johnson for 13 yards,-0.220,0.810
4,0:25,1,10,ATL 28,39,26,Doug Johnson pass complete to Alge Crumpler for 6 yards (tackle by Mike Nattiel),0.810,1.070
4,0:20,2,4,ATL 34,39,26,Doug Johnson pass complete to Peerless Price for 9 yards (tackle by Brian Williams),1.070,1.800
4,0:15,1,10,ATL 43,39,26,Doug Johnson pass complete to Peerless Price for 11 yards (tackle by Brian Williams),1.800,2.520
4,0:10,1,10,MIN 46,39,26,Doug Johnson pass complete to Peerless Price for 8 yards (tackle by Denard Walker),2.520,3.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
