Unnamed: 0,MIN,ATL
First Downs,16,21
Rush-Yds-TDs,38-166-2,17-104-1
Cmp-Att-Yd-TD-INT,14-24-239-2-1,28-41-352-2-2
Sacked-Yards,2-6,2-16
Net Pass Yards,233,336
Total Yards,399,440
Fumbles-Lost,1-0,4-1
Turnovers,1,3
Penalties-Yards,8-58,7-56
Third Down Conv.,4-14,3-10
Fourth Down Conv.,0-1,0-0
Time of Possession,33:28,26:32
