Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Blair Walsh kicks off 64 yards, returned by Deonte Thompson for 49 yards (tackle by Trae Waynes)",0.000,-2.260
1,14:54,1,10,,0,0,"Matt Forte middle for 35 yards (tackle by Terence Newman). Penalty on Hroniss Grasu: Offensive Holding, 10 yards (no play)",2.260,1.600
1,14:20,1,20,CHI 40,0,0,Jeremy Langford right tackle for 3 yards (tackle by Terence Newman),1.600,0.770
1,13:46,2,17,CHI 43,0,0,Jay Cutler sacked by Tom Johnson for -8 yards,0.770,-0.960
1,12:58,3,25,CHI 35,0,0,Matt Forte right guard for 13 yards (tackle by Xavier Rhodes),-0.960,-0.190
1,12:17,4,12,CHI 48,0,0,Pat O'Donnell punts 45 yards,-0.190,0.380
1,12:06,1,10,MIN 7,0,0,Adrian Peterson left guard for 2 yards (tackle by Mitch Unrein and John Timu),-0.380,-0.630
1,11:29,2,8,MIN 9,0,0,Adrian Peterson right guard for 9 yards (tackle by Chris Prosinski),-0.630,0.040
1,10:51,1,10,MIN 18,0,0,Adrian Peterson left tackle for no gain (tackle by John Timu),0.040,-0.490
1,10:11,2,10,MIN 18,0,0,Teddy Bridgewater pass incomplete short right intended for Stefon Diggs (defended by Pernell McPhee),-0.490,-1.170
1,10:07,3,10,MIN 18,0,0,Teddy Bridgewater pass complete short right to Kyle Rudolph for 12 yards (tackle by Jonathan Anderson),-1.170,0.940
1,9:38,1,10,MIN 30,0,0,Adrian Peterson middle for 6 yards (tackle by Will Sutton),0.940,1.200
1,9:07,2,4,MIN 36,0,0,Teddy Bridgewater pass incomplete short right intended for Zach Line,1.200,0.500
1,9:03,3,4,MIN 36,0,0,Teddy Bridgewater pass complete short left to Jerick McKinnon for 25 yards (tackle by Tracy Porter),0.500,2.980
1,8:34,1,10,CHI 39,0,0,Adrian Peterson right end for 6 yards (tackle by Kyle Fuller and Sam Acho),2.980,3.250
1,8:03,2,4,CHI 33,0,0,Adrian Peterson middle for 4 yards (tackle by Lamarr Houston),3.250,3.640
1,7:33,1,10,CHI 29,0,0,Teddy Bridgewater pass complete short left to Jarius Wright for 7 yards (tackle by Kyle Fuller),3.640,4.050
1,7:00,2,3,CHI 22,0,0,"Adrian Peterson left guard for -1 yards (tackle by John Timu). Penalty on Lamarr Houston: Defensive Offside, 5 yards (no play)",4.050,4.440
1,6:32,1,10,CHI 17,0,0,Adrian Peterson left guard for 2 yards (tackle by John Timu and Bruce Gaston),4.440,4.150
1,5:49,2,8,CHI 15,0,6,"Teddy Bridgewater pass complete short left to Stefon Diggs for 15 yards, touchdown",4.150,7.000
1,5:49,,,CHI 15,0,7,Blair Walsh kicks extra point good,0.000,0.000
1,5:49,,,MIN 35,0,7,"Blair Walsh kicks off 63 yards, returned by Deonte Thompson for 24 yards (tackle by Jason Trusnik)",0.000,-0.670
1,5:39,1,10,CHI 26,0,7,Jay Cutler pass complete short left to Zach Miller for 5 yards (tackle by Terence Newman),0.670,0.810
1,5:05,2,5,CHI 31,0,7,Matt Forte middle for no gain (tackle by Andrew Sendejo),0.810,0.100
