Unnamed: 0,CHI,MIN
First Downs,21,20
Rush-Yds-TDs,20-94-0,36-129-1
Cmp-Att-Yd-TD-INT,26-37-231-2-1,17-20-231-4-0
Sacked-Yards,5-32,1-10
Net Pass Yards,199,221
Total Yards,293,350
Fumbles-Lost,1-1,1-0
Turnovers,2,0
Penalties-Yards,6-39,4-45
Third Down Conv.,5-12,8-12
Fourth Down Conv.,1-1,0-0
Time of Possession,27:50,32:10
