Quarter,Time,Tm,Detail,ATL,NYJ
1.0,1:36,Jets,"Safety, Bijan Robinson tackled in end zone by Ashtyn Davis and Quinnen Williams",0,2
2.0,10:04,Falcons,MyCole Pruitt 20 yard pass from Desmond Ridder (Younghoe Koo kick),7,2
,3:56,Jets,Greg Zuerlein 27 yard field goal,7,5
,0:00,Falcons,Younghoe Koo 22 yard field goal,10,5
3.0,10:32,Jets,Greg Zuerlein 46 yard field goal,10,8
,3:38,Falcons,Younghoe Koo 42 yard field goal,13,8
