Unnamed: 0,ATL,NYJ
First Downs,15,14
Rush-Yds-TDs,34-90-0,25-62-0
Cmp-Att-Yd-TD-INT,12-27-121-1-0,19-38-214-0-1
Sacked-Yards,3-17,4-17
Net Pass Yards,104,197
Total Yards,194,259
Fumbles-Lost,3-0,4-2
Turnovers,0,3
Penalties-Yards,6-55,11-71
Third Down Conv.,4-14,2-15
Fourth Down Conv.,0-0,2-3
Time of Possession,29:34,30:26
